sample	FusionName	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	num_reads
cov50_pass5	PGM2L1--CSE1L	chr11:74368492	chr20:49092046	50
cov50_pass5	PGM2--PPP1R14A	chr4:37839931	chr19:38252338	50
cov50_pass5	PGPEP1L--FAM136A	chr15:98969425	chr2:70300980	50
cov50_pass5	PLD3--TMEM86B	chr19:40366510	chr19:55227563	50
cov50_pass5	PLEKHG1--DDO	chr6:150809476	chr6:110413466	50
cov50_pass5	PPP1R15B--SAV1	chr1:204409492	chr14:50635384	50
cov50_pass5	PLEKHG7--ZNF714	chr12:92740948	chr19:21116829	50
cov50_pass5	POU2F3--TLR5	chr11:120307615	chr1:223113035	50
cov50_pass5	POU4F1--PFDN6	chr13:78603204	chr6:33290326	50
cov50_pass5	POU4F2--SUMO2	chr4:146639428	chr17:75181188	50
cov50_pass5	POU4F3--BLOC1S1	chr5:146339232	chr12:55716933	50
cov50_pass5	PPAP2A--ZNF354A	chr5:55441851	chr5:178713621	50
cov50_pass5	PPARGC1B--DEFB121	chr5:149837073	chr20:31405085	50
cov50_pass5	PPFIA3--FBXO30	chr19:49141513	chr6:145806421	50
cov50_pass5	PPHLN1--NUDT12	chr12:42398994	chr5:103552416	50
cov50_pass5	PPIC--GJA4	chr5:123036509	chr1:34794197	50
cov50_pass5	PPIH--DIP2C	chr1:42666587	chr10:327176	50
cov50_pass5	PPL--CLC	chr16:4890728	chr19:39734493	50
cov50_pass5	PPM1D--ABI1	chr17:60648082	chr10:26748745	50
cov50_pass5	PPP1CB--CNOT1	chr2:28776982	chr16:58546414	50
cov50_pass5	PPP1CB--PID1	chr2:28776982	chr2:229155964	50
cov50_pass5	PPP1R14B--AF165138.7	chr11:64245204	chr21:14609568	50
cov50_pass5	POU2F3--SPIB	chr11:120315427	chr19:50419893	50
cov50_pass5	PORCN--PROCR	chrX:48511935	chr20:35176698	50
cov50_pass5	POLR2K--CRISP2	chr8:100151916	chr6:49697957	50
cov50_pass5	PNMAL1--UNC5CL	chr19:46470820	chr6:41030755	50
cov50_pass5	PLEKHS1--SAPCD2	chr10:113777259	chr9:137064979	50
cov50_pass5	PLIN3--CLCNKA	chr19:4859590	chr1:16026536	50
cov50_pass5	PLLP--GAGE2A	chr16:57258462	chrX:49594118	50
cov50_pass5	PLS3--MAPK8IP1	chrX:115646535	chr11:45905151	50
cov50_pass5	PMF1--LRRC55	chr1:156232425	chr11:57187245	50
cov50_pass5	PMP2--TBX22	chr8:81444500	chrX:80025603	50
cov50_pass5	POC5--SMARCA2	chr5:75692396	chr9:2073212	50
cov50_pass5	POLR2J--CDH7	chr7:102478808	chr18:65809704	50
cov50_pass5	POLDIP3--TNFSF14	chr22:42599698	chr19:6670158	50
cov50_pass5	POLE3--FAM188A	chr9:113409610	chr10:15789319	50
cov50_pass5	POLG--PPBP	chr15:89320766	chr4:73987374	50
cov50_pass5	POLR2D--CD63	chr2:127850590	chr12:55726964	50
cov50_pass5	POLR2J2--ZNF281	chr7:102667090	chr1:200409719	50
cov50_pass5	POLR2J3--FBXO18	chr7:102540015	chr10:5921258	50
cov50_pass5	PDXP--CCNH	chr22:37659356	chr5:87411346	50
cov50_pass5	PDILT--WRB	chr16:20369492	chr21:39391769	50
cov50_pass5	PDIA6--GTSF1L	chr2:10784934	chr20:43726340	50
cov50_pass5	PDIA4--GH2	chr7:149012155	chr17:63881519	50
cov50_pass5	PADI3--GAL3ST4	chr1:17249229	chr7:100160959	50
cov50_pass5	PADI3--NPPB	chr1:17270411	chr1:11858469	50
cov50_pass5	PANX2--ATP6C	chr22:50179135	chr16:2520984	50
cov50_pass5	PAOX--ZNF585A	chr10:133379497	chr19:37170054	50
cov50_pass5	PAPLN--UGGT1	chr14:73244759	chr2:128186683	50
cov50_pass5	PAPOLG--APOM	chr2:60782005	chr6:31656472	50
cov50_pass5	PAPSS1--AMBN	chr4:107693771	chr4:70606185	50
cov50_pass5	PAQR5--MICAL2	chr15:69384882	chr11:12162079	50
cov50_pass5	PARD6G--MYO1G	chr18:80202710	chr7:44969483	50
cov50_pass5	PATL2--RDM1	chr15:44667106	chr17:35925637	50
cov50_pass5	PATZ1--RASSF8	chr22:31335692	chr12:26055236	50
cov50_pass5	PAWR--FBXW8	chr12:79613575	chr12:116988663	50
cov50_pass5	PAX3--KANK4	chr2:222220140	chr1:62253209	50
cov50_pass5	PAX5--TRIM43	chr9:36923355	chr2:95599092	50
cov50_pass5	PBDC1--C19ORF47	chrX:76176992	chr19:40328550	50
cov50_pass5	PADI1--PKN2	chr1:17205309	chr1:88760222	50
cov50_pass5	PABPC1L--NDUFB3	chr20:44924256	chr2:201085459	50
cov50_pass5	P4HA3--FAH	chr11:74289079	chr15:80168264	50
cov50_pass5	OSER1--SCN8A	chr20:44206881	chr12:51705417	50
cov50_pass5	ODC1--BRS3	chr2:10444095	chrX:136490133	50
cov50_pass5	OIP5--CCNB1IP1	chr15:41313273	chr14:20316560	50
cov50_pass5	OLA1--LRRC17	chr2:174123180	chr7:102933774	50
cov50_pass5	OLFML2B--NMRK1	chr1:161997825	chr9:75070042	50
cov50_pass5	ONECUT3--FAM168B	chr19:1754854	chr2:131082657	50
cov50_pass5	OSBPL5--CALCR	chr11:3107771	chr7:93487007	50
cov50_pass5	OSMR--API5	chr5:38885484	chr11:43328712	50
cov50_pass5	P2RX5--TMC5	chr17:3679590	chr16:19444081	50
cov50_pass5	OTC--MDFI	chrX:38352773	chr6:41638739	50
cov50_pass5	OTOP2--LCT	chr17:74927281	chr2:135818061	50
cov50_pass5	OTOS--WFIKKN2	chr2:240140269	chr17:50839499	50
cov50_pass5	OVOL3--PANK4	chr19:36112964	chr1:2515717	50
cov50_pass5	OXT--SETD7	chr20:3071775	chr4:139533366	50
cov50_pass5	P2RX3--AP5B1	chr11:57350898	chr11:65780342	50
cov50_pass5	PCDH11Y--KRBOX4	chrY:5623104	chrX:46497122	50
cov50_pass5	PCDH11Y--TMEM31	chrY:5615275	chrX:103713594	50
cov50_pass5	PCDH7--ZNF438	chr4:30724596	chr10:30845573	50
cov50_pass5	PCYT2--INHBC	chr17:81906760	chr12:57449277	50
cov50_pass5	PCMTD2--PSORS1C2	chr20:64265613	chr6:31138306	50
cov50_pass5	PCNXL4--ASAP2	chr14:60108327	chr2:9400742	50
cov50_pass5	PCNXL4--C10ORF25	chr14:60125251	chr10:45000416	50
cov50_pass5	PCNX--IFFO2	chr14:71089342	chr1:18908666	50
cov50_pass5	PCSK1--AC131097.4	chr5:96425820	chr2:241897334	50
cov50_pass5	PCSK5--FOXP4	chr9:76239165	chr6:41584769	50
cov50_pass5	PDAP1--TBKBP1	chr7:99400303	chr17:47698595	50
cov50_pass5	PCK1--PROX2	chr20:57561635	chr14:74856995	50
cov50_pass5	PDCD10--PRR22	chr3:167697009	chr19:5784439	50
cov50_pass5	PDCD6IP--HOXB5	chr3:33822082	chr17:48592456	50
cov50_pass5	PDE4B--SLC25A41	chr1:66365766	chr19:6429831	50
cov50_pass5	PDE6C--GABRA1	chr10:93626704	chr5:161850796	50
cov50_pass5	PDE6H--SP7	chr12:14978146	chr12:53329420	50
cov50_pass5	PDGFD--MZF1	chr11:103996065	chr19:58569397	50
cov50_pass5	PCMT1--PTPLA	chr6:149749956	chr10:17594383	50
cov50_pass5	PCIF1--SCAMP2	chr20:45947166	chr15:74850673	50
cov50_pass5	PCDH8--BTD	chr13:52845806	chr3:15635424	50
cov50_pass5	PCDHGA3--SLC25A22	chr5:141505481	chr11:795169	50
cov50_pass5	PCDH9--DMTN	chr13:66631210	chr8:22066705	50
cov50_pass5	PCDH9--MOAP1	chr13:66903504	chr14:93184362	50
cov50_pass5	PCDHA10--EPB41L1	chr5:140857647	chr20:36173764	50
cov50_pass5	PCDHA2--SFTPC	chr5:140797352	chr8:22163436	50
cov50_pass5	PCDHA6--NANS	chr5:140829693	chr9:98080816	50
cov50_pass5	PCDHAC2--MAP3K19	chr5:140979007	chr2:134991580	50
cov50_pass5	PCDHGA4--ADAM15	chr5:141494865	chr1:155061415	50
cov50_pass5	PCED1A--FKBP8	chr20:2839789	chr19:18538436	50
cov50_pass5	PCDHGB1--CSN2	chr5:141352669	chr4:69959069	50
cov50_pass5	PCDHGB2--ZNF296	chr5:141362556	chr19:45075862	50
cov50_pass5	PCDHGB3--ZBTB25	chr5:141494865	chr14:64449638	50
cov50_pass5	PCDHGC3--CRY2	chr5:141505481	chr11:45867612	50
cov50_pass5	PCDHGC5--L3MBTL4	chr5:141491700	chr18:6264038	50
cov50_pass5	PCDP1--ZNRD1	chr2:119647050	chr6:30061515	50
cov50_pass5	PPP1R15B--RSPO3	chr1:204409492	chr6:127148648	50
cov50_pass5	PPP1R1C--GPBAR1	chr2:182063791	chr2:218262680	50
cov50_pass5	OARD1--HEATR5A	chr6:41071596	chr14:31306879	50
cov50_pass5	RBL1--RPF1	chr20:37061103	chr1:84480956	50
cov50_pass5	RANBP3--DNAH12	chr19:5927968	chr3:57425141	50
cov50_pass5	RAP1GDS1--CLSTN2	chr4:98418791	chr3:140448519	50
cov50_pass5	RAPH1--ANAPC15	chr2:203459907	chr11:72111281	50
cov50_pass5	RAPSN--BRF2	chr11:47438732	chr8:37847341	50
cov50_pass5	RAPSN--DFFA	chr11:47447812	chr1:10467332	50
cov50_pass5	RARRES2--C12ORF36	chr7:150340436	chr12:13376425	50
cov50_pass5	RASAL1--MS4A4E	chr12:113119362	chr11:60213332	50
cov50_pass5	RASAL1--URAD	chr12:113117073	chr13:27978452	50
cov50_pass5	RASL10A--SEC24B	chr22:29313863	chr4:109539561	50
cov50_pass5	RASSF9--SF3A2	chr12:85836155	chr19:2245446	50
cov50_pass5	RAVER2--PPP1R1A	chr1:64812849	chr12:54582795	50
cov50_pass5	RAX2--PDE1C	chr19:3771527	chr7:31850741	50
cov50_pass5	RB1CC1--RAB33A	chr8:52658873	chrX:130184285	50
cov50_pass5	RB1--CCNK	chr13:48377034	chr14:99493514	50
cov50_pass5	RBBP4--WTIP	chr1:32672699	chr19:34494586	50
cov50_pass5	RAF1--NRIP2	chr3:12599691	chr12:2834841	50
cov50_pass5	RAD21--WDR92	chr8:116861841	chr2:68138857	50
cov50_pass5	RABL2A--UPF1	chr2:113634232	chr19:18857320	50
cov50_pass5	QRICH2--SIX3	chr17:76275819	chr2:44944568	50
cov50_pass5	PYGL--AL391421.1	chr14:50931673	chr10:77867923	50
cov50_pass5	PYGM--ZNF679	chr11:64755447	chr7:64249028	50
cov50_pass5	QKI--PARK7	chr6:163535125	chr1:7962763	50
cov50_pass5	QKI--UNC5A	chr6:163563719	chr5:176869614	50
cov50_pass5	QPCTL--INSL4	chr19:45698699	chr9:5233654	50
cov50_pass5	QPCTL--SMUG1	chr19:45692910	chr12:54183959	50
cov50_pass5	RAB11FIP1--VTI1A	chr8:37870420	chr10:112527087	50
cov50_pass5	RABL2A--PAMR1	chr2:113632944	chr11:35492173	50
cov50_pass5	RAB11FIP4--RAB34	chr17:31522395	chr17:28714710	50
cov50_pass5	RAB21--CD6	chr12:71769859	chr11:61013423	50
cov50_pass5	RAB2B--FAM169B	chr14:21476827	chr15:98452010	50
cov50_pass5	RAB34--SPHK1	chr17:28715032	chr17:76386221	50
cov50_pass5	RAB39A--SPECC1	chr11:107928795	chr17:20296961	50
cov50_pass5	RAB43--TUB	chr3:129121286	chr11:8101486	50
cov50_pass5	RBFA--OSGEP	chr18:80038617	chr14:20448171	50
cov50_pass5	RBM15--MLNR	chr1:110342268	chr13:49222040	50
cov50_pass5	PPP1R1C--SPO11	chr2:182061479	chr20:57333188	50
cov50_pass5	RBM4--C4ORF17	chr11:66640123	chr4:99540412	50
cov50_pass5	RGS6--CLEC11A	chr14:72470083	chr19:50724410	50
cov50_pass5	RHAG--KIAA0753	chr6:49606848	chr17:6612148	50
cov50_pass5	RHBDF2--LIPN	chr17:76478806	chr10:88768792	50
cov50_pass5	RHNO1--C1QTNF4	chr12:2885534	chr11:47590815	50
cov50_pass5	RHOV--WNT3A	chr15:40873684	chr1:228022667	50
cov50_pass5	RHPN2--DSCAM	chr19:32991823	chr21:40167288	50
cov50_pass5	RIC8B--NRAS	chr12:106823447	chr1:114709728	50
cov50_pass5	RIMBP2--FBLN1	chr12:130456496	chr22:45533761	50
cov50_pass5	RIMS1--FRG2	chr6:72242437	chr4:190026765	50
cov50_pass5	RIMS4--ECHDC1	chr20:44757670	chr6:127316502	50
cov50_pass5	RIN1--FKTN	chr11:66335978	chr9:105604215	50
cov50_pass5	RIPK4--CYSTM1	chr21:41743882	chr5:140243305	50
cov50_pass5	RIPPLY2--SERF2	chr6:83853511	chr15:43793576	50
cov50_pass5	RMDN3--KRT79	chr15:40740133	chr12:52822379	50
cov50_pass5	RNASEL--PRG3	chr1:182576256	chr11:57378812	50
cov50_pass5	RGS21--CD1D	chr1:192347389	chr1:158182032	50
cov50_pass5	RGS16--L3MBTL2	chr1:182602420	chr22:41216139	50
cov50_pass5	RGS12--SMARCA2	chr4:3343053	chr9:2191266	50
cov50_pass5	RELL1--PLA2R1	chr4:37638447	chr2:159976225	50
cov50_pass5	RBMY1E--ARTN	chrY:21905813	chr1:43936093	50
cov50_pass5	RBMY1J--IQCH	chrY:22406128	chr15:67494258	50
cov50_pass5	RBPMS2--DTNBP1	chr15:64749431	chr6:15615399	50
cov50_pass5	RCBTB1--NUP214	chr13:49555515	chr9:131128332	50
cov50_pass5	RCHY1--FSD2	chr4:75508820	chr15:82780267	50
cov50_pass5	REEP4--CUZD1	chr8:22140625	chr10:122835097	50
cov50_pass5	REPIN1--ZNF556	chr7:150369868	chr19:2873496	50
cov50_pass5	RGL4--FAM228B	chr22:23697245	chr2:24169356	50
cov50_pass5	REPS1--ZIC3	chr6:138944498	chrX:137568902	50
cov50_pass5	RFPL1--MRPS23	chr22:29439164	chr17:57839935	50
cov50_pass5	RFX3--SUMO3	chr9:3346667	chr21:44809118	50
cov50_pass5	RFX4--CYTH1	chr12:106720054	chr17:78700443	50
cov50_pass5	RFX5--GOLGA8I	chr1:151344417	chr15:22616036	50
cov50_pass5	RGL1--TXNL4B	chr1:183880800	chr16:72090786	50
cov50_pass5	PYGB--VAX1	chr20:25281112	chr10:117134583	50
cov50_pass5	PXT1--RASIP1	chr6:36400454	chr19:48724960	50
cov50_pass5	PXK--ACAA2	chr3:58410159	chr18:49794427	50
cov50_pass5	PVRL3--LPAR5	chr3:111072177	chr12:6621464	50
cov50_pass5	PRDM6--TMEM108	chr5:123099961	chr3:133229266	50
cov50_pass5	PRDM7--KCNJ3	chr16:90061452	chr2:154854727	50
cov50_pass5	PRDX4--CDADC1	chrX:23671646	chr13:49259486	50
cov50_pass5	PRED58--FAM160A2	chr21:45114812	chr11:6214911	50
cov50_pass5	PRED60--TSPO2	chr21:45768020	chr6:41043557	50
cov50_pass5	PRH2--PRRC2B	chr12:10929337	chr9:131447662	50
cov50_pass5	PRH2--TMEM255A	chr12:10929337	chrX:120294051	50
cov50_pass5	PRIMA1--FOXA3	chr14:93787626	chr19:45872075	50
cov50_pass5	PRIMPOL--ZNF709	chr4:184691581	chr19:12466850	50
cov50_pass5	PRKAR2A--COL11A2	chr3:48790544	chr6:33180730	50
cov50_pass5	PRKRA--EBF3	chr2:178443267	chr10:129837960	50
cov50_pass5	PROK1--DUXA	chr1:110454086	chr19:57159278	50
cov50_pass5	PROP1--FLRT1	chr5:177994106	chr11:64116219	50
cov50_pass5	PROX2--OTOF	chr14:74856801	chr2:26463571	50
cov50_pass5	PRPF40A--FIG4	chr2:152717356	chr6:109715078	50
cov50_pass5	PRDM6--IL18R1	chr5:123099961	chr2:102371953	50
cov50_pass5	PRDM4--METTL18	chr12:107743197	chr1:169793897	50
cov50_pass5	PRDM15--CA2	chr21:41878695	chr8:85475798	50
cov50_pass5	PPT1--PHF5A	chr1:40078560	chr22:41468147	50
cov50_pass5	PPP1R27--HTR3A	chr17:81834764	chr11:113979233	50
cov50_pass5	PPP1R3A--ASB15	chr7:113918215	chr7:123616221	50
cov50_pass5	PPP2R5A--ACSM5	chr1:212358787	chr16:20430993	50
cov50_pass5	PPP3CA--C9ORF47	chr4:101171084	chr9:88991470	50
cov50_pass5	PPP5C--AGPS	chr19:46388448	chr2:177493148	50
cov50_pass5	PPP6C--COPE	chr9:125153533	chr19:18911071	50
cov50_pass5	PQLC2--ZNF780B	chr1:19317841	chr19:40047470	50
cov50_pass5	PRB4--C19ORF67	chr12:11309370	chr19:14083877	50
cov50_pass5	PRAC1--HACL1	chr17:48722318	chr3:15582989	50
cov50_pass5	PRAMEF11--ARHGAP6	chr1:12828497	chrX:11156626	50
cov50_pass5	PRAMEF12--C6ORF203	chr1:12775154	chr6:107030025	50
cov50_pass5	PRAMEF18--KIF11	chr1:13370649	chr10:92621385	50
cov50_pass5	PRAMEF2--CD151	chr1:12860271	chr11:838133	50
cov50_pass5	PRAMEF6--NAPG	chr1:13259553	chr18:10539988	50
cov50_pass5	PRR20A--SLC35D1	chr13:57141356	chr1:67047367	50
cov50_pass5	PRRG2--EDNRB	chr19:49583717	chr13:77898334	50
cov50_pass5	PRRG3--ST3GAL2	chrX:151698821	chr16:70382924	50
cov50_pass5	PTPRN2--LRP10	chr7:157576613	chr14:22876940	50
cov50_pass5	PTGR1--COX6C	chr9:111574734	chr8:99892052	50
cov50_pass5	PTHLH--C20ORF194	chr12:27963348	chr20:3324968	50
cov50_pass5	PTK2--FADS6	chr8:140735251	chr17:74879583	50
cov50_pass5	PTK6--AKNA	chr20:63532526	chr9:114368595	50
cov50_pass5	PTP4A3--S100G	chr8:141427069	chrX:16654405	50
cov50_pass5	PTPN9--CLDN18	chr15:75523121	chr3:138023658	50
cov50_pass5	PTPRT--TTF1	chr20:42791195	chr9:132386621	50
cov50_pass5	PTF1A--AP003068.23	chr10:23193314	chr11:65181072	50
cov50_pass5	PTPRZ1--TACR2	chr7:122039588	chr10:69409075	50
cov50_pass5	PTRF--APOBR	chr17:42422627	chr16:28498436	50
cov50_pass5	PTTG1--WASF1	chr5:160422893	chr6:110108681	50
cov50_pass5	PUS1--IZUMO3	chr12:131932312	chr9:24544281	50
cov50_pass5	PUS1--MEAF6	chr12:131930135	chr1:37509542	50
cov50_pass5	PUS7--UBR7	chr7:105495142	chr14:93212032	50
cov50_pass5	PTGDR--GPRC5B	chr14:52268660	chr16:19872846	50
cov50_pass5	PTCH2--ATF6	chr1:44828506	chr1:161783990	50
cov50_pass5	PRRG4--SARS2	chr11:32836821	chr19:38926300	50
cov50_pass5	PSMB5--COPS7A	chr14:23027745	chr12:6730402	50
cov50_pass5	PRRT3--HAGHL	chr3:9948758	chr16:728794	50
cov50_pass5	PRSS42--FHOD3	chr3:46833882	chr18:36742737	50
cov50_pass5	PRSS45--IFNL2	chr3:46742913	chr19:39269915	50
cov50_pass5	PRSS50--ADAM21	chr3:46717437	chr14:70457349	50
cov50_pass5	PSAP--CCR6	chr10:71820240	chr6:167136038	50
cov50_pass5	PSMB10--UBE3C	chr16:67934797	chr7:157163810	50
cov50_pass5	PSMC4--DNAJC10	chr19:39979984	chr2:182736249	50
cov50_pass5	PTCH1--DEFB123	chr9:95480390	chr20:31450029	50
cov50_pass5	PSMD1--IKBKE	chr2:231067111	chr1:206487914	50
cov50_pass5	PSMD3--FMO5	chr17:39988819	chr1:147190249	50
cov50_pass5	PSMD9--RPL28	chr12:121915944	chr19:55386350	50
cov50_pass5	PSMF1--TUBB	chr20:1118902	chr6:30722918	50
cov50_pass5	PSMG3--TRAPPC6A	chr7:1569124	chr19:45164247	50
cov50_pass5	PTBP3--NT5C1B	chr9:112297832	chr2:18582997	50
cov50_pass5	OBP2A--REPS2	chr9:135548809	chrX:17068402	50
cov50_pass5	NYAP2--FGFR1OP2	chr2:225513672	chr12:26954145	50
cov50_pass5	KRT40--CCNK	chr17:40983046	chr14:99492626	50
cov50_pass5	MED14--BRSK1	chrX:40713778	chr19:55287214	50
cov50_pass5	MAP7--SLC35D1	chr6:136383671	chr1:67049850	50
cov50_pass5	MARCH10--INO80C	chr17:62759835	chr18:35479411	50
cov50_pass5	MASTL--B3GALT1	chr10:27173259	chr2:167868811	50
cov50_pass5	MBL2--SPATA2L	chr10:52770670	chr16:89701233	50
cov50_pass5	MBLAC2--PARD3	chr5:90473839	chr10:34131583	50
cov50_pass5	MBNL1--TIPIN	chr3:152458193	chr15:66352955	50
cov50_pass5	MCF2L2--PDRG1	chr3:183318068	chr20:31946576	50
cov50_pass5	MCFD2--KLK14	chr2:46909023	chr19:51081703	50
cov50_pass5	MCHR1--RWDD4	chr22:40679734	chr4:183646537	50
cov50_pass5	MCM2--IGFL3	chr3:127599547	chr19:46124156	50
cov50_pass5	MCM7--SMIM19	chr7:100099589	chr8:42548656	50
cov50_pass5	MCM7--VPS16	chr7:100099279	chr20:2861615	50
cov50_pass5	MCM8--ZNF454	chr20:5954690	chr5:178942685	50
cov50_pass5	MCUR1--API5	chr6:13800341	chr11:43329965	50
cov50_pass5	MDH2--C17ORF80	chr7:76057493	chr17:73235476	50
cov50_pass5	MAP7D3--LBR	chrX:136244632	chr1:225424089	50
cov50_pass5	MAP7D1--CACYBP	chr1:36178823	chr1:175009923	50
cov50_pass5	MAP3K7--MAP3K11	chr6:90552049	chr11:65608070	50
cov50_pass5	MAGI1--WFDC10B	chr3:65442792	chr20:45684960	50
cov50_pass5	LYPD2--USP44	chr8:142752394	chr12:95534326	50
cov50_pass5	LYPLA1--ZNF365	chr8:54055060	chr10:62623103	50
cov50_pass5	LYRM1--PRG4	chr16:20915714	chr1:186311034	50
cov50_pass5	LYRM5--OSM	chr12:25204007	chr22:30265144	50
cov50_pass5	MAGED4B--HIBADH	chrX:52065330	chr7:27632445	50
cov50_pass5	MAGED4B--TNFAIP1	chrX:52066865	chr17:28344364	50
cov50_pass5	MAK--IL36A	chr6:10803720	chr2:113007832	50
cov50_pass5	MAP3K19--FAM219A	chr2:134991537	chr9:34401119	50
cov50_pass5	MAK--NOXA1	chr6:10818886	chr9:137429276	50
cov50_pass5	MANSC4--SLC37A2	chr12:27766665	chr11:125076757	50
cov50_pass5	MAOA--CDC6	chrX:43728314	chr17:40291058	50
cov50_pass5	MAP1B--C7ORF33	chr5:72183825	chr7:148615327	50
cov50_pass5	MAP1LC3C--GFRAL	chr1:241998514	chr6:55401790	50
cov50_pass5	MAP1LC3C--GJB1	chr1:241998776	chrX:71223692	50
cov50_pass5	ME3--NEUROG2	chr11:86450301	chr4:112515476	50
cov50_pass5	MED24--TRPS1	chr17:40027909	chr8:115623758	50
cov50_pass5	MNDA--TTC21A	chr1:158846003	chr3:39110029	50
cov50_pass5	MED26--RPL7A	chr19:16628522	chr9:133350240	50
cov50_pass5	MIPOL1--ZNF513	chr14:37308089	chr2:27378371	50
cov50_pass5	MKRN3--BTBD8	chr15:23566984	chr1:92139350	50
cov50_pass5	MLF1IP--TH	chr4:184716397	chr11:2167933	50
cov50_pass5	MLLT3--C2ORF83	chr9:20360742	chr2:227611656	50
cov50_pass5	MLNR--CCDC122	chr13:49221389	chr13:43868803	50
cov50_pass5	MLN--BBS10	chr6:33795503	chr12:76347787	50
cov50_pass5	MLX--KRT18	chr17:42569606	chr12:52951481	50
cov50_pass5	MLYCD--NACC1	chr16:83912367	chr19:13138147	50
cov50_pass5	MLYCD--SSX4	chr16:83912367	chrX:48384034	50
cov50_pass5	MLYCD--ZP3	chr16:83899672	chr7:76440250	50
cov50_pass5	MMADHC--DSPP	chr2:149571085	chr4:87613785	50
cov50_pass5	MMADHC--KIAA0319	chr2:149582127	chr6:24563518	50
cov50_pass5	MMP15--ZNF696	chr16:58043627	chr8:143292972	50
cov50_pass5	MMP20--BCL6B	chr11:102594621	chr17:7024083	50
cov50_pass5	MMP9--TSPAN9	chr20:46013534	chr12:3278421	50
cov50_pass5	MIF--TRAF5	chr22:23894582	chr1:211372128	50
cov50_pass5	MICALL1--NFE2L3	chr22:37932888	chr7:26183701	50
cov50_pass5	MGST2--JSRP1	chr4:139666077	chr19:2254301	50
cov50_pass5	METTL21C--LCORL	chr13:102690813	chr4:17886161	50
cov50_pass5	MED31--C9ORF40	chr17:6650356	chr9:74948206	50
cov50_pass5	MEF2BNB--MYH13	chr19:19186034	chr17:10312757	50
cov50_pass5	MEI1--VTA1	chr22:41795542	chr6:142189426	50
cov50_pass5	MELK--ATPIF1	chr9:36633200	chr1:28246589	50
cov50_pass5	MEOX1--NDUFAF3	chr17:43661066	chr3:49022876	50
cov50_pass5	METAP1--CCDC181	chr4:99043387	chr1:169422313	50
cov50_pass5	METTL24--BCL2L11	chr6:110357955	chr2:111150044	50
cov50_pass5	MGST1--CASP7	chr12:16357699	chr10:113725362	50
cov50_pass5	METTL2B--RASAL1	chr7:128488161	chr12:113100680	50
cov50_pass5	MEX3A--LYRM9	chr1:156081545	chr17:27880366	50
cov50_pass5	MFF--FLYWCH1	chr2:227332588	chr16:2930410	50
cov50_pass5	MFGE8--PIP	chr15:88907195	chr7:143139518	50
cov50_pass5	MFGE8--PPP2R2C	chr15:88913247	chr4:6372700	50
cov50_pass5	MFN1--FGFBP3	chr3:179368103	chr10:91909047	50
cov50_pass5	LYPD1--SPTBN5	chr2:132668400	chr15:41865903	50
