LeftGene	LeftChrom	Hg19_LeftBreakpointCoord	RightGene	RightChrom	Hg19_RightBreakpointCoord	FusionName	SourceDataset	FastaDescription	Hg38_LeftBreakpoint	Hg38_RightBreakpoint	sample	fusion_id	num_reads
LECT2	chr5	135288560	ZNF814	chr19	58388410	LECT2--ZNF814	sim_brain.fusion_transcripts	LECT2|ENSG00000145826.4--ZNF814|ENSG00000204514.5 LECT2|ENST00000514447.2--ZNF814|ENST00000595894.1 chr5:135290671-135290477,135288656-135288560[-] chr19:58388410-58388284,58379947-58379826,58370351-58370183,58363756-58363706,58363602-58363534[-] FusedAt:292	chr5:135952871	chr19:57877042	ONT_75	LECT2|ENSG00000145826.4--ZNF814|ENSG00000204514.5	115
METAP1	chr4	99964538	CCDC181	chr1	169391551	METAP1--CCDC181	sim_colon.fusion_transcripts	METAP1|ENSG00000164024.7--CCDC181|ENSG00000117477.8 METAP1|ENST00000544031.1--CCDC181|ENST00000367806.3 chr4:99952798-99952813,99955381-99955493,99956551-99956611,99960525-99960616,99962194-99962277,99964400-99964538[+] chr1:169391551-169390601,169388397-169388251,169366629-169366475,169364444-169364108[-] FusedAt:505	chr4:99043387	chr1:169422313	ONT_75	METAP1|ENSG00000164024.7--CCDC181|ENSG00000117477.8	115
RMDN3	chr15	41032331	KRT79	chr12	53216163	RMDN3--KRT79	sim_colon.fusion_transcripts	RMDN3|ENSG00000137824.11--KRT79|ENSG00000185640.5 RMDN3|ENST00000260385.6--KRT79|ENST00000549255.1 chr15:41048049-41046795,41044376-41044184,41043767-41043624,41037457-41037175,41036347-41036245,41032391-41032331[-] chr12:53216163-53215528[-] FusedAt:2039	chr15:40740133	chr12:52822379	ONT_75	RMDN3|ENSG00000137824.11--KRT79|ENSG00000185640.5	115
MAP1LC3C	chr1	242162078	GJB1	chrX	70443542	MAP1LC3C--GJB1	sim_adipose.fusion_transcripts	MAP1LC3C|ENSG00000197769.5--GJB1|ENSG00000169562.9 MAP1LC3C|ENST00000357246.3--GJB1|ENST00000374022.3 chr1:242162375-242162253,242162133-242162078[-] chrX:70443542-70445366[+] FusedAt:179	chr1:241998776	chrX:71223692	ONT_75	MAP1LC3C|ENSG00000197769.5--GJB1|ENSG00000169562.9	114
ALPL	chr1	21887238	GALM	chr2	38956698	ALPL--GALM	sim_brain.fusion_transcripts	ALPL|ENSG00000162551.9--GALM|ENSG00000143891.12 ALPL|ENST00000374840.3--GALM|ENST00000434934.1 chr1:21835865-21836010,21880471-21880635,21887119-21887238[+] chr2:38956698-38956839,38958877-38959051,38968247-38968379[+] FusedAt:431	chr1:21560745	chr2:38729556	ONT_75	ALPL|ENSG00000162551.9--GALM|ENSG00000143891.12	114
FPGT	chr1	74664110	NDUFS5	chr1	39500064	FPGT--NDUFS5	sim_brain.fusion_transcripts	FPGT|ENSG00000254685.2--NDUFS5|ENSG00000168653.6 FPGT|ENST00000482102.2--NDUFS5|ENST00000372969.3 chr1:74663926-74664110[+] chr1:39500064-39500308[+] FusedAt:185	chr1:74198426	chr1:39034392	ONT_75	FPGT|ENSG00000254685.2--NDUFS5|ENSG00000168653.6	114
MT1M	chr16	56667317	HDGF	chr1	156714938	MT1M--HDGF	sim_heart.fusion_transcripts	MT1M|ENSG00000205364.3--HDGF|ENSG00000143321.14 MT1M|ENST00000379818.3--HDGF|ENST00000357325.5 chr16:56666145-56666671,56667252-56667317[+] chr1:156714938-156714800,156714140-156713955,156713670-156713444,156713247-156711899[-] FusedAt:593	chr16:56633405	chr1:156745146	ONT_75	MT1M|ENSG00000205364.3--HDGF|ENSG00000143321.14	113
ARHGAP28	chr18	6890542	ESPL1	chr12	53682874	ARHGAP28--ESPL1	sim_adipose.fusion_transcripts	ARHGAP28|ENSG00000088756.8--ESPL1|ENSG00000135476.7 ARHGAP28|ENST00000419673.2--ESPL1|ENST00000552462.1 chr18:6834474-6834538,6837196-6837413,6851033-6851125,6859807-6859896,6868149-6868233,6870589-6870731,6873408-6873573,6873683-6873774,6876130-6876207,6882136-6882298,6887156-6887238,6889887-6890084,6890429-6890542[+] chr12:53682874-53683087,53683188-53683378,53683869-53683996,53684131-53684253,53684625-53684780,53685474-53685644,53685768-53685872,53686062-53686177,53686358-53686441,53686590-53686754,53687057-53687258[+] FusedAt:1588	chr18:6890543	chr12:53289090	ONT_75	ARHGAP28|ENSG00000088756.8--ESPL1|ENSG00000135476.7	113
KHSRP	chr19	6415391	LDLR	chr19	11226770	KHSRP--LDLR	sim_adipose.fusion_transcripts	KHSRP|ENSG00000088247.11--LDLR|ENSG00000130164.7 KHSRP|ENST00000594496.1--LDLR|ENST00000455727.2 chr19:6415695-6415620,6415468-6415391[-] chr19:11226770-11226888,11227535-11227674,11230768-11230909,11231046-11231198,11233850-11234020,11238684-11238761,11240189-11240346,11241957-11242160[+] FusedAt:154	chr19:6415380	chr19:11116094	ONT_75	KHSRP|ENSG00000088247.11--LDLR|ENSG00000130164.7	113
WNT3	chr17	44895884	C10orf35	chr10	71391465	WNT3--C10orf35	sim_colon.fusion_transcripts	WNT3|ENSG00000108379.5--C10orf35|ENSG00000171224.7 WNT3|ENST00000225512.5--C10orf35|ENST00000373279.4 chr17:44896126-44895884[-] chr10:71391465-71391595,71392546-71393352[+] FusedAt:243	chr17:46818518	chr10:69631709	ONT_75	WNT3|ENSG00000108379.5--C10orf35|ENSG00000171224.7	113
AP2M1	chr3	183900036	SP3	chr2	174820960	AP2M1--SP3	sim_colon.fusion_transcripts	AP2M1|ENSG00000161203.9--SP3|ENSG00000172845.9 AP2M1|ENST00000442686.1--SP3|ENST00000455789.2 chr3:183899803-183899835,183899939-183900036[+] chr2:174820960-174819601,174783513-174783321,174777994-174777798,174774985-174771187[-] FusedAt:131	chr3:184182248	chr2:173956232	ONT_75	AP2M1|ENSG00000161203.9--SP3|ENSG00000172845.9	113
MFGE8	chr15	89456478	PPP2R2C	chr4	6374427	MFGE8--PPP2R2C	sim_adipose.fusion_transcripts	MFGE8|ENSG00000140545.10--PPP2R2C|ENSG00000074211.9 MFGE8|ENST00000566497.1--PPP2R2C|ENST00000382599.4 chr15:89456612-89456478[-] chr4:6374427-6374250,6349737-6349573,6335458-6335289,6331080-6330989,6325320-6324783[-] FusedAt:135	chr15:88913247	chr4:6372700	ONT_75	MFGE8|ENSG00000140545.10--PPP2R2C|ENSG00000074211.9	112
CD79A	chr19	42383723	AP1S3	chr2	224640726	CD79A--AP1S3	sim_heart.fusion_transcripts	CD79A|ENSG00000105369.5--AP1S3|ENSG00000152056.12 CD79A|ENST00000444740.2--AP1S3|ENST00000443700.1 chr19:42381375-42381453,42383060-42383245,42383605-42383723[+] chr2:224640726-224640618,224630067-224629930,224617606-224616403[-] FusedAt:384	chr19:41879653	chr2:223776009	ONT_75	CD79A|ENSG00000105369.5--AP1S3|ENSG00000152056.12	112
C1QA	chr1	22964272	C11orf1	chr11	111754495	C1QA--C11orf1	sim_testis.fusion_transcripts	C1QA|ENSG00000173372.12--C11orf1|ENSG00000137720.3 C1QA|ENST00000402322.1--C11orf1|ENST00000529270.1 chr1:22964073-22964272[+] chr11:111754495-111754793[+] FusedAt:200	chr1:22637779	chr11:111883771	ONT_75	C1QA|ENSG00000173372.12--C11orf1|ENSG00000137720.3	111
FXYD3	chr19	35612014	U2AF1	chr21	44524512	FXYD3--U2AF1	sim_brain.fusion_transcripts	FXYD3|ENSG00000089356.12--U2AF1|ENSG00000160201.7 FXYD3|ENST00000346446.5--U2AF1|ENST00000291552.4 chr19:35607166-35607263,35610267-35610320,35611982-35612014[+] chr21:44524512-44524425,44520629-44520563,44515853-44515804,44515646-44515548,44514898-44514765,44514673-44514581,44513359-44513066[-] FusedAt:185	chr19:35121110	chr21:43104402	ONT_75	FXYD3|ENSG00000089356.12--U2AF1|ENSG00000160201.7	111
SCN2B	chr11	118038800	CCDC41	chr12	94702693	SCN2B--CCDC41	sim_heart.fusion_transcripts	SCN2B|ENSG00000149575.5--CCDC41|ENSG00000173588.10 SCN2B|ENST00000278947.5--CCDC41|ENST00000339839.5 chr11:118047388-118047077,118039466-118039300,118039010-118038800[-] chr12:94702693-94702056[-] FusedAt:690	chr11:118168085	chr12:94308917	ONT_75	SCN2B|ENSG00000149575.5--CCDC41|ENSG00000173588.10	111
ISM1	chr20	13251390	CPNE1	chr20	34220307	ISM1--CPNE1	sim_heart.fusion_transcripts	ISM1|ENSG00000101230.5--CPNE1|ENSG00000214078.7 ISM1|ENST00000262487.4--CPNE1|ENST00000458038.1 chr20:13202418-13202561,13251151-13251390[+] chr20:34220307-34220233,34219947-34219919[-] FusedAt:384	chr20:13270743	chr20:35632385	ONT_75	ISM1|ENSG00000101230.5--CPNE1|ENSG00000214078.7	110
ALX4	chr11	44289044	SKIL	chr3	170099032	ALX4--SKIL	sim_brain.fusion_transcripts	ALX4|ENSG00000052850.5--SKIL|ENSG00000136603.9 ALX4|ENST00000329255.3--SKIL|ENST00000458537.3 chr11:44331716-44331147,44297208-44296898,44289172-44289044[-] chr3:170099032-170099129,170102321-170102553,170108011-170108252,170108824-170109048,170110047-170114623[+] FusedAt:1010	chr11:44267494	chr3:170381244	ONT_75	ALX4|ENSG00000052850.5--SKIL|ENSG00000136603.9	110
C20orf27	chr20	3736116	WDR65	chr1	43642792	C20orf27--WDR65	sim_colon.fusion_transcripts	C20orf27|ENSG00000101220.13--WDR65|ENSG00000243710.3 C20orf27|ENST00000399683.3--WDR65|ENST00000533339.1 chr20:3739325-3739183,3736254-3736116[-] chr1:43642792-43642882,43647205-43647521,43649262-43649548,43650820-43651027,43652378-43652530,43663224-43663363,43664152-43664317,43665061-43665174,43672391-43672603,43675414-43675587,43675767-43675789[+] FusedAt:282	chr20:3755469	chr1:43177121	ONT_75	C20orf27|ENSG00000101220.13--WDR65|ENSG00000243710.3	109
ANO3	chr11	26660788	DICER1	chr14	95557446	ANO3--DICER1	sim_brain.fusion_transcripts	ANO3|ENSG00000134343.8--DICER1|ENSG00000100697.10 ANO3|ENST00000256737.3--DICER1|ENST00000541352.1 chr11:26352971-26353868,26463465-26463659,26465312-26465383,26484577-26484695,26529651-26529809,26538374-26538474,26547182-26547226,26552752-26552883,26556003-26556109,26558953-26559008,26563494-26563615,26568963-26569097,26574796-26574892,26581266-26581326,26619912-26619994,26620405-26620545,26621097-26621261,26646009-26646045,26655751-26655862,26656560-26656617,26660691-26660788[+] chr14:95557446-95557371,95557000-95556829[-] FusedAt:2993	chr11:26639241	chr14:95091109	ONT_75	ANO3|ENSG00000134343.8--DICER1|ENSG00000100697.10	109
PRR20A	chr13	57715490	SLC35D1	chr1	67513050	PRR20A--SLC35D1	sim_brain.fusion_transcripts	PRR20A|ENSG00000204919.1--SLC35D1|ENSG00000116704.6 PRR20A|ENST00000377931.1--SLC35D1|ENST00000506472.2 chr13:57715052-57715265,57715420-57715490[+] chr1:67513050-67512948,67508011-67507919,67487285-67487218,67486130-67486052,67474850-67474768,67474130-67473197[-] FusedAt:285	chr13:57141356	chr1:67047367	ONT_75	PRR20A|ENSG00000204919.1--SLC35D1|ENSG00000116704.6	108
CALR	chr19	13051468	TWF2	chr3	52265011	CALR--TWF2	sim_brain.fusion_transcripts	CALR|ENSG00000179218.9--TWF2|ENSG00000247596.4 CALR|ENST00000316448.5--TWF2|ENST00000499914.2 chr19:13049421-13049584,13049948-13050049,13050242-13050445,13050867-13050961,13051057-13051266,13051355-13051468[+] chr3:52265011-52264886,52264086-52263936,52263217-52262664[-] FusedAt:889	chr19:12940654	chr3:52230995	ONT_75	CALR|ENSG00000179218.9--TWF2|ENSG00000247596.4	108
POLR2D	chr2	128608164	CD63	chr12	56120748	POLR2D--CD63	sim_colon.fusion_transcripts	POLR2D|ENSG00000144231.6--CD63|ENSG00000135404.7 POLR2D|ENST00000272645.4--CD63|ENST00000548898.1 chr2:128615731-128615602,128610679-128610499,128608259-128608164[-] chr12:56120748-56120674,56120579-56120484,56120045-56119905,56119680-56119597,56119410-56119107[-] FusedAt:407	chr2:127850590	chr12:55726964	ONT_75	POLR2D|ENSG00000144231.6--CD63|ENSG00000135404.7	108
MAMDC2	chr9	72659147	LTB4R2	chr14	24779805	MAMDC2--LTB4R2	sim_colon.fusion_transcripts	MAMDC2|ENSG00000165072.9--LTB4R2|ENSG00000213906.5 MAMDC2|ENST00000377182.4--LTB4R2|ENST00000543919.1 chr9:72658497-72659147[+] chr14:24779805-24781259[+] FusedAt:651	chr9:70044231	chr14:24310599	ONT_75	MAMDC2|ENSG00000165072.9--LTB4R2|ENSG00000213906.5	108
AKAP12	chr6	151627038	TMIGD2	chr19	4292882	AKAP12--TMIGD2	sim_heart.fusion_transcripts	AKAP12|ENSG00000131016.12--TMIGD2|ENSG00000167664.4 AKAP12|ENST00000253332.1--TMIGD2|ENST00000600349.1 chr6:151561509-151561859,151626882-151627038[+] chr19:4292882-4292596[-] FusedAt:508	chr6:151305903	chr19:4292885	ONT_75	AKAP12|ENSG00000131016.12--TMIGD2|ENSG00000167664.4	108
