#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
SLC3A1--SF1	85	1.0	0.815	0.945	3'-SF1-chr11-64766158-0.934	5'-SLC3A1-chr2-44301127-0.955
WIPF2--ZFYVE9	84	1.0	0.856	0.95	3'-ZFYVE9-chr1-52303819-0.944	5'-WIPF2-chr17-40274000-0.955
RPL36A--GJB3	83	1.0	0.786	0.928	3'-GJB3-chr1-34786369-0.892	5'-RPL36A-chrX-101391824-0.965
MPDZ--NDUFB11	85	0.971	0.77	0.839	3'-NDUFB11-chrX-47142219-0.904	5'-MPDZ-chr9-13126514-0.773
KCNJ3--PKN2	83	1.0	0.8	0.841	3'-PKN2-chr1-88786102-0.748	5'-KCNJ3-chr2-154709823-0.933
DNM1--RAB10	81	1.0	0.841	0.905	3'-RAB10-chr2-26109765-0.89	5'-DNM1-chr9-128242346-0.92
ISCA1--PTCD1	84	0.956	0.836	0.955	3'-PTCD1-chr7-99429807-0.977	5'-ISCA1-chr9-86282538-0.933
POU2F3--TLR5	78	1.0	0.823	0.879	3'-TLR5-chr1-223113035-0.839	5'-POU2F3-chr11-120307616-0.918
PER2--IGF2R	78	0.998	0.849	0.864	3'-IGF2R-chr6-160089253-0.94	5'-PER2-chr2-238262344-0.788
SAV1--FLT3	77	0.98	0.872	0.919	3'-FLT3-chr13-28050225-0.875	5'-SAV1-chr14-50665178-0.963
WDYHV1--BTNL9	69	1.0	0.823	0.722	3'-BTNL9-chr5-181045465-0.821	5'-WDYHV1-chr8-123416812-0.622
DGCR6L--FUOM	69	0.987	0.821	0.965	3'-FUOM-chr10-133357257-0.958	5'-DGCR6L-chr22-20319638-0.972
SP8--GORASP1	58	0.996	0.846	0.945	3'-GORASP1-chr3-39097458-0.906	5'-SP8-chr7-20786886-0.983
MAP7D1--CACYBP	72	0.813	0.667	0.925	3'-CACYBP-chr1-175010079-0.973	5'-MAP7D1-chr1-36178824-0.878
VPREB3--TMEM64	56	1.0	0.8	0.982	3'-TMEM64-chr8-90645102-0.982	5'-VPREB3-chr22-23753151-0.982
ABCD2--CCR2	55	1.0	0.776	0.956	3'-CCR2-chr3-46357475-0.948	5'-ABCD2-chr12-39616987-0.965
CHMP6--TMEM45B	54	1.0	0.916	0.923	3'-TMEM45B-chr11-129852472-0.915	5'-CHMP6-chr17-80997343-0.931
GAS2L2--C8orf34	53	1.0	0.806	0.939	3'-C8orf34-chr8-68532982-0.964	5'-GAS2L2-chr17-35747848-0.914
ZNF12--NIFK	53	1.0	0.784	0.972	3'-NIFK-chr2-121728536-0.981	5'-ZNF12-chr7-6697688-0.964
SRP14--NXPH4	51	1.0	0.845	0.935	3'-NXPH4-chr12-57221305-0.927	5'-SRP14-chr15-40039050-0.944
H2AFJ--ADIG	51	1.0	0.82	0.99	3'-ADIG-chr20-38588463-0.981	5'-H2AFJ-chr12-14774581-1.0
NEFH--CHRNB1	50	1.0	0.809	0.893	3'-CHRNB1-chr17-7455281-0.806	5'-NEFH-chr22-29481145-0.98
TIMM17B--TUBAL3	49	1.0	0.815	0.99	3'-TUBAL3-chr10-5394463-0.98	5'-TIMM17B-chrX-48897790-1.0
ZFC3H1--FBXL22	49	1.0	0.749	0.952	3'-FBXL22-chr15-63601292-0.961	5'-ZFC3H1-chr12-71631776-0.942
CABLES1--ENO4	49	1.0	0.868	0.944	3'-ENO4-chr10-116860792-0.907	5'-CABLES1-chr18-23214055-0.98
TIMM10B--CD244	48	1.0	0.889	0.898	3'-CD244-chr1-160841486-0.923	5'-TIMM10B-chr11-6482289-0.873
CBLN1--PCDHAC2	48	1.0	0.794	0.942	3'-PCDHAC2-chr5-140978945-0.923	5'-CBLN1-chr16-49281201-0.96
TMED6--AKR1E2	48	1.0	0.831	0.97	3'-AKR1E2-chr10-4847745-0.98	5'-TMED6-chr16-69351809-0.96
RP2--C12orf66	48	1.0	0.822	0.96	3'-C12orf66-chr12-64215965-0.941	5'-RP2-chrX-46860103-0.98
RHOT1--RALY	58	0.825	0.818	0.796	3'-RALY-chr20-34077129-1.0	5'-RHOT1-chr17-32142559-0.592
TERF1--CYP2R1	48	0.976	0.722	0.99	3'-CYP2R1-chr11-14878297-1.0	5'-TERF1-chr8-73032134-0.98
NFKBID--ZNF3	45	1.0	0.799	0.647	3'-ZNF3-chr7-100075264-0.294	5'-NFKBID-chr19-35895978-1.0
FCGR3A--ANGEL1	45	1.0	0.623	0.928	3'-ANGEL1-chr14-76812940-0.957	5'-FCGR3A-chr1-161541764-0.9
GLRX3--MBOAT4	45	1.0	0.847	0.958	3'-MBOAT4-chr8-30132907-0.938	5'-GLRX3-chr10-130160999-0.978
CPXM1--HOXC4	44	1.0	0.847	0.989	3'-HOXC4-chr12-54055327-0.978	5'-CPXM1-chr20-2800637-1.0
ELP3--DTYMK	44	1.0	0.842	0.978	3'-DTYMK-chr2-241680319-0.978	5'-ELP3-chr8-28106784-0.978
BNC2--FTCD	44	1.0	0.7	0.938	3'-FTCD-chr21-46145950-0.978	5'-BNC2-chr9-16435552-0.898
HBD--SH3RF1	43	1.0	0.728	0.915	3'-SH3RF1-chr4-169117787-0.896	5'-HBD-chr11-5235371-0.935
ATG4A--DSTYK	46	0.999	0.773	0.911	3'-DSTYK-chr1-205211566-0.902	5'-ATG4A-chrX-108134334-0.92
C16orf54--ASB9	42	0.994	0.771	0.661	3'-ASB9-chrX-15270148-0.894	5'-C16orf54-chr16-29744956-0.429
ZNF318--TPMT	42	1.0	0.814	0.842	3'-TPMT-chr6-18132179-0.75	5'-ZNF318-chr6-43357122-0.933
ELOVL3--ZADH2	40	1.0	0.746	0.988	3'-ZADH2-chr18-75202342-1.0	5'-ELOVL3-chr10-102227757-0.976
C20orf24--C15orf53	40	1.0	0.894	0.965	3'-C15orf53-chr15-38698136-0.93	5'-C20orf24-chr20-36607819-1.0
TRAV22--PPP3R1	39	1.0	0.922	0.695	3'-PPP3R1-chr2-68186652-0.39	5'-TRAV22-chr14-22070741-1.0
CMC4--PPP6C	39	1.0	0.854	0.881	3'-PPP6C-chr9-125153744-0.812	5'-CMC4-chrX-155063965-0.951
DOCK3--TMEM55B	39	1.0	0.749	0.833	3'-TMEM55B-chr14-20458385-0.886	5'-DOCK3-chr3-51310326-0.78
METTL2B--RASAL1	38	0.954	0.76	0.987	3'-RASAL1-chr12-113099507-1.0	5'-METTL2B-chr7-128488162-0.974
CHP1--HSPB11	35	1.0	0.778	0.916	3'-HSPB11-chr1-53930147-0.833	5'-CHP1-chr15-41270619-1.0
PPP5C--AGPS	34	1.0	0.844	0.843	3'-AGPS-chr2-177493143-0.791	5'-PPP5C-chr19-46388448-0.895
SLC7A10--ZFP36L1	19	1.0	0.783	0.394	3'-ZFP36L1-chr14-68790494-0.594	5'-SLC7A10-chr19-33210465-0.194
PSORS1C2--PCMTD2	17	0.98	0.819	0.877	3'-PCMTD2-chr20-64265614-0.944	5'-PSORS1C2-chr6-31138309-0.81
C20orf27--NLRP1	14	1.0	0.607	0.912	3'-NLRP1-chr17-5584512-0.824	5'-C20orf27-chr20-3753507-1.0
DDO--PLEKHG1	13	1.0	0.812	0.898	3'-PLEKHG1-chr6-150809477-0.929	5'-DDO-chr6-110413469-0.867
SPANXN5--ZSCAN10	13	1.0	0.84	0.933	3'-ZSCAN10-chr16-3092318-0.867	5'-SPANXN5-chrX-52798101-1.0
EHD3--IGHG3	12	1.0	0.808	0.747	3'-IGHG3-chr14-105856218-0.571	5'-EHD3-chr2-31268394-0.923
LAG3--GDA	12	1.0	0.723	1.0	3'-GDA-chr9-72202743-1.0	5'-LAG3-chr12-6775733-1.0
SIK3--DMPK	12	1.0	0.742	0.775	3'-DMPK-chr19-45771930-0.75	5'-SIK3-chr11-116857808-0.8
TATDN2--NMNAT2	12	1.0	0.69	0.89	3'-NMNAT2-chr1-183293796-0.857	5'-TATDN2-chr3-10276488-0.923
EMC4--ASAH2	12	0.971	0.704	1.0	3'-ASAH2-chr10-50203681-1.0	5'-EMC4-chr15-34225651-1.0
RHOC--NOL4	10	1.0	0.853	0.916	3'-NOL4-chr18-33958421-1.0	5'-RHOC-chr1-112703643-0.833
CADM3--SAP18	10	1.0	0.768	0.955	3'-SAP18-chr13-21147413-1.0	5'-CADM3-chr1-159196464-0.909
G0S2--CXorf22	10	1.0	0.892	0.955	3'-CXorf22-chrX-36071973-1.0	5'-G0S2-chr1-209676388-0.909
DYNC2LI1--PTGES2-AS1	10	1.0	0.812	0.494	3'-PTGES2-AS1-chr9-128128517-0.08	5'-DYNC2LI1-chr2-43800917-0.909
C20orf173--TYSND1	10	1.0	0.762	0.955	3'-TYSND1-chr10-70146586-0.909	5'-C20orf173-chr20-35529249-1.0
ZGPAT--ANKRD40	10	1.0	0.858	0.955	3'-ANKRD40-chr17-50700717-0.909	5'-ZGPAT-chr20-63733353-1.0
PRAMEF4--WDFY3	11	0.823	0.798	1.0	3'-WDFY3-chr4-84850015-1.0	5'-PRAMEF4-chr1-12880112-1.0
TPRG1L--FDXR	9	1.0	0.897	1.0	3'-FDXR-chr17-74872976-1.0	5'-TPRG1L-chr1-3630127-1.0
SLC30A2--CYP1A1	9	1.0	0.822	1.0	3'-CYP1A1-chr15-74721504-1.0	5'-SLC30A2-chr1-26046133-1.0
SCAF1--PHTF1	9	1.0	0.931	0.95	3'-PHTF1-chr1-113704798-0.9	5'-SCAF1-chr19-49645134-1.0
RPS19BP1--CSRP1	9	1.0	0.881	1.0	3'-CSRP1-chr1-201496305-1.0	5'-RPS19BP1-chr22-39532855-1.0
MRPS30--LTB4R	9	1.0	0.806	1.0	3'-LTB4R-chr14-24315958-1.0	5'-MRPS30-chr5-44811156-1.0
ZNF396--FAM195B	9	1.0	0.786	0.909	3'-FAM195B-chr17-81823517-1.0	5'-ZNF396-chr18-35373875-0.818
CLCN2--MED13L	8	1.0	0.769	0.945	3'-MED13L-chr12-116237707-0.889	5'-CLCN2-chr3-184361602-1.0
TMEM19--OTUD6B	8	1.0	0.8	1.0	3'-OTUD6B-chr8-91087095-1.0	5'-TMEM19-chr12-71699109-1.0
PCDH19--BEX5	8	1.0	0.913	0.863	3'-BEX5-chrX-102154304-1.0	5'-PCDH19-chrX-100406449-0.727
EQTN--CLLU1OS	8	0.981	0.866	1.0	3'-CLLU1OS-chr12-92421009-1.0	5'-EQTN-chr9-27297139-1.0
EXOC3L4--IGFBP3	8	0.94	0.694	1.0	3'-IGFBP3-chr7-45921272-1.0	5'-EXOC3L4-chr14-103104328-1.0
LARP4--TOP2B	7	1.0	0.975	0.827	3'-TOP2B-chr3-25609345-0.875	5'-LARP4-chr12-50427912-0.778
GINS2--RBP1	7	1.0	0.804	1.0	3'-RBP1-chr3-139527342-1.0	5'-GINS2-chr16-85688025-1.0
CCDC67--CTSV	7	1.0	0.893	0.938	3'-CTSV-chr9-97036748-0.875	5'-CCDC67-chr11-93332288-1.0
ULK3--TMEM135	7	1.0	0.836	0.938	3'-TMEM135-chr11-87179324-0.875	5'-ULK3-chr15-74843124-1.0
SGSH--ZNF208	7	1.0	0.768	0.875	3'-ZNF208-chr19-21987313-0.875	5'-SGSH-chr17-80220360-0.875
SPATA31A1--EMILIN3	7	0.93	0.968	1.0	3'-EMILIN3-chr20-41366827-1.0	5'-SPATA31A1-chr9-39361959-1.0
SOCS7--APOBEC4	6	1.0	0.983	1.0	3'-APOBEC4-chr1-183648813-1.0	5'-SOCS7-chr17-38361777-1.0
FAM175B--CFAP44	6	1.0	0.992	0.928	3'-CFAP44-chr3-113433669-0.857	5'-FAM175B-chr10-124801901-1.0
FARS2--KIR3DL2	6	1.0	0.8	0.803	3'-KIR3DL2-chr19-54851997-0.75	5'-FARS2-chr6-5613322-0.857
IGBP1--FKBPL	6	1.0	0.788	1.0	3'-FKBPL-chr6-32129859-1.0	5'-IGBP1-chrX-70134137-1.0
MRPS15--TRAFD1	5	1.0	0.695	1.0	3'-TRAFD1-chr12-112140986-1.0	5'-MRPS15-chr1-36464437-1.0
SNIP1--CLMN	5	1.0	0.945	0.709	3'-CLMN-chr14-95296243-1.0	5'-SNIP1-chr1-37538021-0.417
MOCOS--RAB3B	5	1.0	0.99	0.709	3'-RAB3B-chr1-51933444-0.417	5'-MOCOS-chr18-36198757-1.0
CAPS--CWC22	5	1.0	0.735	0.773	3'-CWC22-chr2-180007113-0.714	5'-CAPS-chr19-5915875-0.833
C9orf135--FIS1	5	1.0	0.665	1.0	3'-FIS1-chr7-101240913-1.0	5'-C9orf135-chr9-69844625-1.0
PLEKHG7--ZNF714	5	1.0	0.685	1.0	3'-ZNF714-chr19-21117215-1.0	5'-PLEKHG7-chr12-92740948-1.0
IFNL2--PRSS45	5	0.927	0.745	1.0	3'-PRSS45-chr3-46744755-1.0	5'-IFNL2-chr19-39270092-1.0
IQGAP3--SYNJ2	5	1.0	0.685	0.916	3'-SYNJ2-chr6-158063872-1.0	5'-IQGAP3-chr1-156572540-0.833
APRT--USP48	4	1.0	0.875	1.0	3'-USP48-chr1-21725119-1.0	5'-APRT-chr16-88810150-1.0
KCNQ4--HMGA2	4	1.0	0.744	1.0	3'-HMGA2-chr12-65842927-1.0	5'-KCNQ4-chr1-40835098-1.0
CLU--CR1	4	1.0	0.9	1.0	3'-CR1-chr1-207611675-1.0	5'-CLU-chr8-27610474-1.0
RAB11FIP1--VTI1A	4	1.0	0.931	1.0	3'-VTI1A-chr10-112818744-1.0	5'-RAB11FIP1-chr8-37899454-1.0
ZNF708--TOR1AIP2	3	1.0	0.608	1.0	3'-TOR1AIP2-chr1-179847637-1.0	5'-ZNF708-chr19-21329410-1.0
NLRP3--SART3	3	1.0	0.917	1.0	3'-SART3-chr12-108561160-1.0	5'-NLRP3-chr1-247449102-1.0
PAPOLG--APOM	3	1.0	0.625	1.0	3'-APOM-chr6-31658077-1.0	5'-PAPOLG-chr2-60782002-1.0
RAP1GDS1--CLSTN2	3	1.0	0.842	0.8	3'-CLSTN2-chr3-140448516-0.6	5'-RAP1GDS1-chr4-98418791-1.0
GTF2H4--HVCN1	3	1.0	0.883	1.0	3'-HVCN1-chr12-110689157-1.0	5'-GTF2H4-chr6-30910063-1.0
TMPRSS3--CD164	3	1.0	0.717	0.875	3'-CD164-chr6-109369018-1.0	5'-TMPRSS3-chr21-42395944-0.75
BAAT--NSF	3	1.0	0.983	1.0	3'-NSF-chr17-46726617-1.0	5'-BAAT-chr9-101363016-1.0
RFX7--MAD1L1	3	0.986	0.583	0.875	3'-MAD1L1-chr7-1838866-0.75	5'-RFX7-chr15-56103671-1.0
ISCA1--ATP5J2-PTCD1	3	0.978	0.725	0.516	3'-ATP5J2-PTCD1-chr7-99429807-1.0	5'-ISCA1-chr9-86282538-0.033
RP1-136J15.5--FGFBP3	3	0.964	0.983	0.515	3'-FGFBP3-chr10-91909049-0.03	5'-RP1-136J15.5-chrX-109569045-1.0
LRRTM3--FKBP11	3	0.931	0.967	1.0	3'-FKBP11-chr12-48922203-1.0	5'-LRRTM3-chr10-66928452-1.0
ARFGAP3--GTF3C3	3	0.875	0.867	1.0	3'-GTF3C3-chr2-196799701-1.0	5'-ARFGAP3-chr22-42835409-1.0
WTIP--RBBP4	3	0.817	0.883	1.0	3'-RBBP4-chr1-32672700-1.0	5'-WTIP-chr19-34498629-1.0
SIAH3--CA6	2	1.0	0.625	1.0	3'-CA6-chr1-8974444-1.0	5'-SIAH3-chr13-45851736-1.0
DNALI1--ADRA1A	2	1.0	0.838	1.0	3'-ADRA1A-chr8-26864976-1.0	5'-DNALI1-chr1-37566856-1.0
C10orf113--THBS3	2	1.0	0.963	0.45	3'-THBS3-chr1-155206413-0.4	5'-C10orf113-chr10-21146559-0.5
TET1--POLR1A	2	1.0	0.938	0.341	3'-POLR1A-chr2-86088670-0.182	5'-TET1-chr10-68652595-0.5
KLK4--LONRF2	2	1.0	0.95	1.0	3'-LONRF2-chr2-100322733-1.0	5'-KLK4-chr19-50907089-1.0
CCSER1--ZPBP	2	1.0	0.963	0.834	3'-ZPBP-chr7-50081900-1.0	5'-CCSER1-chr4-90313047-0.667
USP38--FAM154B	2	1.0	0.8	1.0	3'-FAM154B-chr15-82264889-1.0	5'-USP38-chr4-143195844-1.0
PORCN--DCBLD1	2	1.0	0.85	1.0	3'-DCBLD1-chr6-117532394-1.0	5'-PORCN-chrX-48520693-1.0
MZF1--MUC12	2	1.0	0.688	0.834	3'-MUC12-chr7-101006572-0.667	5'-MZF1-chr19-58563259-1.0
FGF17--SERPINB7	2	1.0	0.787	1.0	3'-SERPINB7-chr18-63782541-1.0	5'-FGF17-chr8-22048807-1.0
JADE3--ATP6V0D2	2	1.0	0.887	0.834	3'-ATP6V0D2-chr8-86154226-1.0	5'-JADE3-chrX-46984940-0.667
KIAA1161--ADK	2	1.0	0.975	1.0	3'-ADK-chr10-74525426-1.0	5'-KIAA1161-chr9-34373006-1.0
ZNF396--OR13A1	2	1.0	0.812	0.591	3'-OR13A1-chr10-45304500-1.0	5'-ZNF396-chr18-35377337-0.182
LHPP--TIMM10	2	1.0	0.938	1.0	3'-TIMM10-chr11-57530238-1.0	5'-LHPP-chr10-124498129-1.0
ZNF816--KDM4D	2	1.0	0.863	1.0	3'-KDM4D-chr11-94999513-1.0	5'-ZNF816-chr19-52962911-1.0
RDM1--PATL2	2	1.0	0.95	1.0	3'-PATL2-chr15-44676550-1.0	5'-RDM1-chr17-35925638-1.0
VPREB1--PROCA1	2	1.0	0.825	1.0	3'-PROCA1-chr17-28704215-1.0	5'-VPREB1-chr22-22244861-1.0
CGB5--PLD5	2	0.887	0.663	0.834	3'-PLD5-chr1-242220115-1.0	5'-CGB5-chr19-49044224-0.667
TRNAU1AP--NKAIN4	1	1.0	1.0	0.256	3'-NKAIN4-chr20-63254540-0.5	5'-TRNAU1AP-chr1-28578539-0.011
FAM209B--LRP8	1	1.0	1.0	1.0	3'-LRP8-chr1-53289691-1.0	5'-FAM209B-chr20-56533590-1.0
ZNF513--MIPOL1	1	1.0	1.0	1.0	3'-MIPOL1-chr14-37308089-1.0	5'-ZNF513-chr2-27378369-1.0
SLC30A5--CEBPZOS	1	1.0	1.0	1.0	3'-CEBPZOS-chr2-37214953-1.0	5'-SLC30A5-chr5-69094338-1.0
AQP12A--ZSWIM2	1	1.0	1.0	0.508	3'-ZSWIM2-chr2-186849170-0.017	5'-AQP12A-chr2-240698481-1.0
WFDC10B--MAGI1	1	1.0	1.0	1.0	3'-MAGI1-chr3-65478635-1.0	5'-WFDC10B-chr20-45684960-1.0
EAF2--GHSR	1	1.0	1.0	1.0	3'-GHSR-chr3-172445467-1.0	5'-EAF2-chr3-121854819-1.0
PRDM6--TMEM108	1	1.0	1.0	1.0	3'-TMEM108-chr3-133397769-1.0	5'-PRDM6-chr5-123099960-1.0
MED13L--CAMK2D	1	1.0	1.0	0.555	3'-CAMK2D-chr4-113761130-1.0	5'-MED13L-chr12-116237706-0.111
SLC27A5--PGRMC2	1	1.0	1.0	1.0	3'-PGRMC2-chr4-128272522-1.0	5'-SLC27A5-chr19-58499275-1.0
PCDHGB2--ZNF296	1	1.0	1.0	1.0	3'-ZNF296-chr19-45075863-1.0	5'-PCDHGB2-chr5-141362555-1.0
NPVF--FAM8A1	1	1.0	1.0	0.75	3'-FAM8A1-chr6-17611717-0.5	5'-NPVF-chr7-25228486-1.0
TAF8--TMEM65	1	1.0	1.0	1.0	3'-TMEM65-chr8-124372696-1.0	5'-TAF8-chr6-42087071-1.0
EXOSC2--MEI4	1	1.0	1.0	0.255	3'-MEI4-chr6-77923441-0.5	5'-EXOSC2-chr9-130695591-0.01
HEY2--PLAC9	1	1.0	1.0	1.0	3'-PLAC9-chr10-80145037-1.0	5'-HEY2-chr6-125754546-1.0
ZFP36L1--HECA	1	1.0	1.0	0.515	3'-HECA-chr6-139180802-1.0	5'-ZFP36L1-chr14-68791243-0.031
ACOT4--VWC2	1	1.0	1.0	0.666	3'-VWC2-chr7-49921946-0.333	5'-ACOT4-chr14-73593911-1.0
N6AMT1--KLHDC10	1	1.0	1.0	1.0	3'-KLHDC10-chr7-130120769-1.0	5'-N6AMT1-chr21-28885371-1.0
DAND5--HIPK2	1	1.0	1.0	1.0	3'-HIPK2-chr7-139777778-1.0	5'-DAND5-chr19-12974753-1.0
FADS6--PTK2	1	1.0	1.0	0.259	3'-PTK2-chr8-140746858-0.5	5'-FADS6-chr17-74879586-0.018
KDM4C--RC3H2	1	1.0	1.0	1.0	3'-RC3H2-chr9-122849823-1.0	5'-KDM4C-chr9-6893233-1.0
DEFB128--BARX1	1	1.0	1.0	1.0	3'-BARX1-chr9-93952331-1.0	5'-DEFB128-chr20-189682-1.0
PTK6--AKNA	1	1.0	1.0	0.75	3'-AKNA-chr9-114368596-0.5	5'-PTK6-chr20-63537340-1.0
NAIF1--TADA2A	1	1.0	1.0	1.0	3'-TADA2A-chr17-37465471-1.0	5'-NAIF1-chr9-128067321-1.0
SAPCD2--PLEKHS1	1	1.0	1.0	0.666	3'-PLEKHS1-chr10-113777260-1.0	5'-SAPCD2-chr9-137064981-0.333
FBL--DLG5	1	1.0	1.0	1.0	3'-DLG5-chr10-77869610-1.0	5'-FBL-chr19-39840441-1.0
FGF22--UBQLN3	1	1.0	1.0	1.0	3'-UBQLN3-chr11-5509595-1.0	5'-FGF22-chr19-643338-1.0
CYP11A1--KCTD21	1	1.0	1.0	1.0	3'-KCTD21-chr11-78174586-1.0	5'-CYP11A1-chr15-74367646-1.0
ZNF543--ZW10	1	1.0	1.0	1.0	3'-ZW10-chr11-113768969-1.0	5'-ZNF543-chr19-57320876-1.0
COPS7A--PSMB5	1	1.0	1.0	1.0	3'-PSMB5-chr14-23034890-1.0	5'-COPS7A-chr12-6731814-1.0
OAS1--GRIN2B	1	1.0	1.0	1.0	3'-GRIN2B-chr12-13567264-1.0	5'-OAS1-chr12-112908830-1.0
PSG11--PLBD1	1	1.0	1.0	1.0	3'-PLBD1-chr12-14568349-1.0	5'-PSG11-chr19-43015370-1.0
OIP5--CCNB1IP1	1	1.0	1.0	1.0	3'-CCNB1IP1-chr14-20316562-1.0	5'-OIP5-chr15-41332487-1.0
KCNB1--EMILIN2	1	1.0	1.0	1.0	3'-EMILIN2-chr18-2915993-1.0	5'-KCNB1-chr20-49482647-1.0
CD1A--TP53I11	1	0.9	1.0	0.666	3'-TP53I11-chr11-44909880-1.0	5'-CD1A-chr1-158255353-0.333
