LeftBreakPoint	RightBreakPoint	FusionName	Breakpoint	BreakpointLexSort	FusionLexSort	num_LR	sim_data_name
chr17:81834764	chr11:113979233	PPP1R27--HTR3A	chr17:81834764--chr11:113979233	chr11:113979233--chr17:81834764	HTR3A--PPP1R27	5	cov5_pass5
chr7:113918215	chr7:123616221	PPP1R3A--ASB15	chr7:113918215--chr7:123616221	chr7:113918215--chr7:123616221	ASB15--PPP1R3A	5	cov5_pass5
chr1:212358787	chr16:20430993	PPP2R5A--ACSM5	chr1:212358787--chr16:20430993	chr16:20430993--chr1:212358787	ACSM5--PPP2R5A	5	cov5_pass5
chr4:101171084	chr9:88991470	PPP3CA--C9ORF47	chr4:101171084--chr9:88991470	chr4:101171084--chr9:88991470	C9ORF47--PPP3CA	5	cov5_pass5
chr19:46388448	chr2:177493148	PPP5C--AGPS	chr19:46388448--chr2:177493148	chr19:46388448--chr2:177493148	AGPS--PPP5C	5	cov5_pass5
chr12:42398994	chr5:103552416	PPHLN1--NUDT12	chr12:42398994--chr5:103552416	chr12:42398994--chr5:103552416	NUDT12--PPHLN1	5	cov5_pass5
chr19:49141513	chr6:145806421	PPFIA3--FBXO30	chr19:49141513--chr6:145806421	chr19:49141513--chr6:145806421	FBXO30--PPFIA3	5	cov5_pass5
chr1:42457350	chr5:154034377	PPCS--FAM114A2	chr1:42457350--chr5:154034377	chr1:42457350--chr5:154034377	FAM114A2--PPCS	5	cov5_pass5
chr5:149837073	chr20:31405085	PPARGC1B--DEFB121	chr5:149837073--chr20:31405085	chr20:31405085--chr5:149837073	DEFB121--PPARGC1B	5	cov5_pass5
chr9:113409610	chr10:15789319	POLE3--FAM188A	chr9:113409610--chr10:15789319	chr10:15789319--chr9:113409610	FAM188A--POLE3	5	cov5_pass5
chr15:89320766	chr4:73987374	POLG--PPBP	chr15:89320766--chr4:73987374	chr15:89320766--chr4:73987374	POLG--PPBP	5	cov5_pass5
chr2:127850590	chr12:55726964	POLR2D--CD63	chr2:127850590--chr12:55726964	chr12:55726964--chr2:127850590	CD63--POLR2D	5	cov5_pass5
chr22:37956901	chr13:25309247	POLR2F--NUPL1	chr22:37956901--chr13:25309247	chr13:25309247--chr22:37956901	NUPL1--POLR2F	5	cov5_pass5
chr7:102667090	chr1:200409719	POLR2J2--ZNF281	chr7:102667090--chr1:200409719	chr1:200409719--chr7:102667090	POLR2J2--ZNF281	5	cov5_pass5
chr7:102540015	chr10:5921258	POLR2J3--FBXO18	chr7:102540015--chr10:5921258	chr10:5921258--chr7:102540015	FBXO18--POLR2J3	5	cov5_pass5
chr7:102478808	chr18:65809704	POLR2J--CDH7	chr7:102478808--chr18:65809704	chr18:65809704--chr7:102478808	CDH7--POLR2J	5	cov5_pass5
chr8:100151916	chr6:49697957	POLR2K--CRISP2	chr8:100151916--chr6:49697957	chr6:49697957--chr8:100151916	CRISP2--POLR2K	5	cov5_pass5
chrX:48511935	chr20:35176698	PORCN--PROCR	chrX:48511935--chr20:35176698	chr20:35176698--chrX:48511935	PORCN--PROCR	5	cov5_pass5
chr11:120315427	chr19:50419893	POU2F3--SPIB	chr11:120315427--chr19:50419893	chr11:120315427--chr19:50419893	POU2F3--SPIB	5	cov5_pass5
chr11:120307615	chr1:223113035	POU2F3--TLR5	chr11:120307615--chr1:223113035	chr11:120307615--chr1:223113035	POU2F3--TLR5	5	cov5_pass5
chr13:78603204	chr6:33290326	POU4F1--PFDN6	chr13:78603204--chr6:33290326	chr13:78603204--chr6:33290326	PFDN6--POU4F1	5	cov5_pass5
chr4:146639428	chr17:75181188	POU4F2--SUMO2	chr4:146639428--chr17:75181188	chr17:75181188--chr4:146639428	POU4F2--SUMO2	5	cov5_pass5
chr5:146339232	chr12:55716933	POU4F3--BLOC1S1	chr5:146339232--chr12:55716933	chr12:55716933--chr5:146339232	BLOC1S1--POU4F3	5	cov5_pass5
chr5:55441851	chr5:178713621	PPAP2A--ZNF354A	chr5:55441851--chr5:178713621	chr5:178713621--chr5:55441851	PPAP2A--ZNF354A	5	cov5_pass5
chr9:125153533	chr19:18911071	PPP6C--COPE	chr9:125153533--chr19:18911071	chr19:18911071--chr9:125153533	COPE--PPP6C	5	cov5_pass5
chr1:19317841	chr19:40047470	PQLC2--ZNF780B	chr1:19317841--chr19:40047470	chr19:40047470--chr1:19317841	PQLC2--ZNF780B	5	cov5_pass5
chr7:42924675	chr12:31298224	PSMA2--FAM60A	chr7:42924675--chr12:31298224	chr12:31298224--chr7:42924675	FAM60A--PSMA2	5	cov5_pass5
chr13:57141356	chr1:67047367	PRR20A--SLC35D1	chr13:57141356--chr1:67047367	chr13:57141356--chr1:67047367	PRR20A--SLC35D1	5	cov5_pass5
chr4:184691581	chr19:12466850	PRIMPOL--ZNF709	chr4:184691581--chr19:12466850	chr19:12466850--chr4:184691581	PRIMPOL--ZNF709	5	cov5_pass5
chr3:48790544	chr6:33180730	PRKAR2A--COL11A2	chr3:48790544--chr6:33180730	chr3:48790544--chr6:33180730	COL11A2--PRKAR2A	5	cov5_pass5
chr2:178443267	chr10:129837960	PRKRA--EBF3	chr2:178443267--chr10:129837960	chr10:129837960--chr2:178443267	EBF3--PRKRA	5	cov5_pass5
chr1:110454086	chr19:57159278	PROK1--DUXA	chr1:110454086--chr19:57159278	chr19:57159278--chr1:110454086	DUXA--PROK1	5	cov5_pass5
chr5:177994106	chr11:64116219	PROP1--FLRT1	chr5:177994106--chr11:64116219	chr11:64116219--chr5:177994106	FLRT1--PROP1	5	cov5_pass5
chr14:74856801	chr2:26463571	PROX2--OTOF	chr14:74856801--chr2:26463571	chr14:74856801--chr2:26463571	OTOF--PROX2	5	cov5_pass5
chr2:152717356	chr6:109715078	PRPF40A--FIG4	chr2:152717356--chr6:109715078	chr2:152717356--chr6:109715078	FIG4--PRPF40A	5	cov5_pass5
chr19:49583717	chr13:77898334	PRRG2--EDNRB	chr19:49583717--chr13:77898334	chr13:77898334--chr19:49583717	EDNRB--PRRG2	5	cov5_pass5
chr17:48722318	chr3:15582989	PRAC1--HACL1	chr17:48722318--chr3:15582989	chr17:48722318--chr3:15582989	HACL1--PRAC1	5	cov5_pass5
chrX:151698821	chr16:70382924	PRRG3--ST3GAL2	chrX:151698821--chr16:70382924	chr16:70382924--chrX:151698821	PRRG3--ST3GAL2	5	cov5_pass5
chr11:32836821	chr19:38926300	PRRG4--SARS2	chr11:32836821--chr19:38926300	chr11:32836821--chr19:38926300	PRRG4--SARS2	5	cov5_pass5
chr3:9948758	chr16:728794	PRRT3--HAGHL	chr3:9948758--chr16:728794	chr16:728794--chr3:9948758	HAGHL--PRRT3	5	cov5_pass5
chr3:46833882	chr18:36742737	PRSS42--FHOD3	chr3:46833882--chr18:36742737	chr18:36742737--chr3:46833882	FHOD3--PRSS42	5	cov5_pass5
chr3:46742913	chr19:39269915	PRSS45--IFNL2	chr3:46742913--chr19:39269915	chr19:39269915--chr3:46742913	IFNL2--PRSS45	5	cov5_pass5
chr4:151279958	chr17:47656860	PRSS48--KPNB1	chr4:151279958--chr17:47656860	chr17:47656860--chr4:151279958	KPNB1--PRSS48	5	cov5_pass5
chr3:46717437	chr14:70457349	PRSS50--ADAM21	chr3:46717437--chr14:70457349	chr14:70457349--chr3:46717437	ADAM21--PRSS50	5	cov5_pass5
chr14:93787626	chr19:45872075	PRIMA1--FOXA3	chr14:93787626--chr19:45872075	chr14:93787626--chr19:45872075	FOXA3--PRIMA1	5	cov5_pass5
chr12:10929337	chrX:120294051	PRH2--TMEM255A	chr12:10929337--chrX:120294051	chr12:10929337--chrX:120294051	PRH2--TMEM255A	5	cov5_pass5
chr12:10929337	chr9:131447662	PRH2--PRRC2B	chr12:10929337--chr9:131447662	chr12:10929337--chr9:131447662	PRH2--PRRC2B	5	cov5_pass5
chr21:45768020	chr6:41043557	PRED60--TSPO2	chr21:45768020--chr6:41043557	chr21:45768020--chr6:41043557	PRED60--TSPO2	5	cov5_pass5
chr1:12828497	chrX:11156626	PRAMEF11--ARHGAP6	chr1:12828497--chrX:11156626	chr1:12828497--chrX:11156626	ARHGAP6--PRAMEF11	5	cov5_pass5
chr1:12775154	chr6:107030025	PRAMEF12--C6ORF203	chr1:12775154--chr6:107030025	chr1:12775154--chr6:107030025	C6ORF203--PRAMEF12	5	cov5_pass5
chr1:13370649	chr10:92621385	PRAMEF18--KIF11	chr1:13370649--chr10:92621385	chr10:92621385--chr1:13370649	KIF11--PRAMEF18	5	cov5_pass5
chr1:13371614	chr2:216871456	PRAMEF19--AC007557.1	chr1:13371614--chr2:216871456	chr1:13371614--chr2:216871456	AC007557.1--PRAMEF19	5	cov5_pass5
chr1:12860271	chr11:838133	PRAMEF2--CD151	chr1:12860271--chr11:838133	chr11:838133--chr1:12860271	CD151--PRAMEF2	5	cov5_pass5
chr1:13259553	chr18:10539988	PRAMEF6--NAPG	chr1:13259553--chr18:10539988	chr18:10539988--chr1:13259553	NAPG--PRAMEF6	5	cov5_pass5
chr12:11309370	chr19:14083877	PRB4--C19ORF67	chr12:11309370--chr19:14083877	chr12:11309370--chr19:14083877	C19ORF67--PRB4	5	cov5_pass5
chr21:41878695	chr8:85475798	PRDM15--CA2	chr21:41878695--chr8:85475798	chr21:41878695--chr8:85475798	CA2--PRDM15	5	cov5_pass5
chr21:41859592	chr17:67160362	PRDM15--HELZ	chr21:41859592--chr17:67160362	chr17:67160362--chr21:41859592	HELZ--PRDM15	5	cov5_pass5
chr12:107743197	chr1:169793897	PRDM4--METTL18	chr12:107743197--chr1:169793897	chr12:107743197--chr1:169793897	METTL18--PRDM4	5	cov5_pass5
chr5:123099961	chr2:102371953	PRDM6--IL18R1	chr5:123099961--chr2:102371953	chr2:102371953--chr5:123099961	IL18R1--PRDM6	5	cov5_pass5
chr5:123099961	chr3:133229266	PRDM6--TMEM108	chr5:123099961--chr3:133229266	chr3:133229266--chr5:123099961	PRDM6--TMEM108	5	cov5_pass5
chr16:90061452	chr2:154854727	PRDM7--KCNJ3	chr16:90061452--chr2:154854727	chr16:90061452--chr2:154854727	KCNJ3--PRDM7	5	cov5_pass5
chrX:23671646	chr13:49259486	PRDX4--CDADC1	chrX:23671646--chr13:49259486	chr13:49259486--chrX:23671646	CDADC1--PRDX4	5	cov5_pass5
chr21:45114812	chr11:6214911	PRED58--FAM160A2	chr21:45114812--chr11:6214911	chr11:6214911--chr21:45114812	FAM160A2--PRED58	5	cov5_pass5
chr22:42599698	chr19:6670158	POLDIP3--TNFSF14	chr22:42599698--chr19:6670158	chr19:6670158--chr22:42599698	POLDIP3--TNFSF14	5	cov5_pass5
chr5:75692396	chr9:2073212	POC5--SMARCA2	chr5:75692396--chr9:2073212	chr5:75692396--chr9:2073212	POC5--SMARCA2	5	cov5_pass5
chr19:46470820	chr6:41030755	PNMAL1--UNC5CL	chr19:46470820--chr6:41030755	chr19:46470820--chr6:41030755	PNMAL1--UNC5CL	5	cov5_pass5
chr22:37659356	chr9:33923033	PDXP--UBAP2	chr22:37659356--chr9:33923033	chr22:37659356--chr9:33923033	PDXP--UBAP2	5	cov5_pass5
chr10:93626704	chr5:161850796	PDE6C--GABRA1	chr10:93626704--chr5:161850796	chr10:93626704--chr5:161850796	GABRA1--PDE6C	5	cov5_pass5
chr12:14978146	chr12:53329420	PDE6H--SP7	chr12:14978146--chr12:53329420	chr12:14978146--chr12:53329420	PDE6H--SP7	5	cov5_pass5
chr11:103996065	chr19:58569397	PDGFD--MZF1	chr11:103996065--chr19:58569397	chr11:103996065--chr19:58569397	MZF1--PDGFD	5	cov5_pass5
chr7:149012155	chr17:63881519	PDIA4--GH2	chr7:149012155--chr17:63881519	chr17:63881519--chr7:149012155	GH2--PDIA4	5	cov5_pass5
chr2:10784934	chr20:43726340	PDIA6--GTSF1L	chr2:10784934--chr20:43726340	chr20:43726340--chr2:10784934	GTSF1L--PDIA6	5	cov5_pass5
chr16:20369492	chr21:39391769	PDILT--WRB	chr16:20369492--chr21:39391769	chr16:20369492--chr21:39391769	PDILT--WRB	5	cov5_pass5
chr22:37659356	chr5:87411346	PDXP--CCNH	chr22:37659356--chr5:87411346	chr22:37659356--chr5:87411346	CCNH--PDXP	5	cov5_pass5
chr1:47185002	chrX:77905184	PDZK1IP1--COX7B	chr1:47185002--chrX:77905184	chr1:47185002--chrX:77905184	COX7B--PDZK1IP1	5	cov5_pass5
chr8:81444500	chrX:80025603	PMP2--TBX22	chr8:81444500--chrX:80025603	chr8:81444500--chrX:80025603	PMP2--TBX22	5	cov5_pass5
chr3:73404148	chr6:32977417	PDZRN3--BRD2	chr3:73404148--chr6:32977417	chr3:73404148--chr6:32977417	BRD2--PDZRN3	5	cov5_pass5
chr1:156905424	chr13:27105944	PEAR1--USP12	chr1:156905424--chr13:27105944	chr13:27105944--chr1:156905424	PEAR1--USP12	5	cov5_pass5
chr17:35577038	chr11:198464	PEX12--ODF3	chr17:35577038--chr11:198464	chr11:198464--chr17:35577038	ODF3--PEX12	5	cov5_pass5
chr3:179887673	chr7:143719683	PEX5L--FAM115C	chr3:179887673--chr7:143719683	chr3:179887673--chr7:143719683	FAM115C--PEX5L	5	cov5_pass5
chr6:42978269	chr13:108306826	PEX6--TNFSF13B	chr6:42978269--chr13:108306826	chr13:108306826--chr6:42978269	PEX6--TNFSF13B	5	cov5_pass5
chr17:8267235	chr14:74529122	PFAS--LTBP2	chr17:8267235--chr14:74529122	chr14:74529122--chr17:8267235	LTBP2--PFAS	5	cov5_pass5
chr10:6203336	chr14:96531475	PFKFB3--PAPOLA	chr10:6203336--chr14:96531475	chr10:6203336--chr14:96531475	PAPOLA--PFKFB3	5	cov5_pass5
chr1:66365766	chr19:6429831	PDE4B--SLC25A41	chr1:66365766--chr19:6429831	chr19:6429831--chr1:66365766	PDE4B--SLC25A41	5	cov5_pass5
chr5:271821	chr1:150274087	PDCD6--C1ORF54	chr5:271821--chr1:150274087	chr1:150274087--chr5:271821	C1ORF54--PDCD6	5	cov5_pass5
chr3:33822082	chr17:48592456	PDCD6IP--HOXB5	chr3:33822082--chr17:48592456	chr17:48592456--chr3:33822082	HOXB5--PDCD6IP	5	cov5_pass5
chr3:167697009	chr19:5784439	PDCD10--PRR22	chr3:167697009--chr19:5784439	chr19:5784439--chr3:167697009	PDCD10--PRR22	5	cov5_pass5
chr5:141494865	chr14:64449638	PCDHGB3--ZBTB25	chr5:141494865--chr14:64449638	chr14:64449638--chr5:141494865	PCDHGB3--ZBTB25	5	cov5_pass5
chr5:141505481	chr11:45867612	PCDHGC3--CRY2	chr5:141505481--chr11:45867612	chr11:45867612--chr5:141505481	CRY2--PCDHGC3	5	cov5_pass5
chr5:141491700	chr18:6264038	PCDHGC5--L3MBTL4	chr5:141491700--chr18:6264038	chr18:6264038--chr5:141491700	L3MBTL4--PCDHGC5	5	cov5_pass5
chr2:119647050	chr6:30061515	PCDP1--ZNRD1	chr2:119647050--chr6:30061515	chr2:119647050--chr6:30061515	PCDP1--ZNRD1	5	cov5_pass5
chr20:2839789	chr19:18538436	PCED1A--FKBP8	chr20:2839789--chr19:18538436	chr19:18538436--chr20:2839789	FKBP8--PCED1A	5	cov5_pass5
chr20:45947166	chr15:74850673	PCIF1--SCAMP2	chr20:45947166--chr15:74850673	chr15:74850673--chr20:45947166	PCIF1--SCAMP2	5	cov5_pass5
chr20:57561635	chr14:74856995	PCK1--PROX2	chr20:57561635--chr14:74856995	chr14:74856995--chr20:57561635	PCK1--PROX2	5	cov5_pass5
chr6:149749956	chr10:17594383	PCMT1--PTPLA	chr6:149749956--chr10:17594383	chr10:17594383--chr6:149749956	PCMT1--PTPLA	5	cov5_pass5
chr14:60108327	chr2:9400742	PCNXL4--ASAP2	chr14:60108327--chr2:9400742	chr14:60108327--chr2:9400742	ASAP2--PCNXL4	5	cov5_pass5
chr14:60125251	chr10:45000416	PCNXL4--C10ORF25	chr14:60125251--chr10:45000416	chr10:45000416--chr14:60125251	C10ORF25--PCNXL4	5	cov5_pass5
chr14:71089342	chr1:18908666	PCNX--IFFO2	chr14:71089342--chr1:18908666	chr14:71089342--chr1:18908666	IFFO2--PCNX	5	cov5_pass5
chr5:96425820	chr2:241897334	PCSK1--AC131097.4	chr5:96425820--chr2:241897334	chr2:241897334--chr5:96425820	AC131097.4--PCSK1	5	cov5_pass5
chr9:76239165	chr6:41584769	PCSK5--FOXP4	chr9:76239165--chr6:41584769	chr6:41584769--chr9:76239165	FOXP4--PCSK5	5	cov5_pass5
chr17:81906760	chr12:57449277	PCYT2--INHBC	chr17:81906760--chr12:57449277	chr12:57449277--chr17:81906760	INHBC--PCYT2	5	cov5_pass5
chr7:99400303	chr17:47698595	PDAP1--TBKBP1	chr7:99400303--chr17:47698595	chr17:47698595--chr7:99400303	PDAP1--TBKBP1	5	cov5_pass5
chr17:4948263	chrX:65518465	PFN1--LAS1L	chr17:4948263--chrX:65518465	chr17:4948263--chrX:65518465	LAS1L--PFN1	5	cov5_pass5
chr11:61211234	chr6:36076537	PGA3--MAPK14	chr11:61211234--chr6:36076537	chr11:61211234--chr6:36076537	MAPK14--PGA3	5	cov5_pass5
chr11:74368492	chr20:49092046	PGM2L1--CSE1L	chr11:74368492--chr20:49092046	chr11:74368492--chr20:49092046	CSE1L--PGM2L1	5	cov5_pass5
chr1:20172794	chr7:118191912	PLA2G2C--NAA38	chr1:20172794--chr7:118191912	chr1:20172794--chr7:118191912	NAA38--PLA2G2C	5	cov5_pass5
chr22:31138276	chr11:78017270	PLA2G3--KCTD14	chr22:31138276--chr11:78017270	chr11:78017270--chr22:31138276	KCTD14--PLA2G3	5	cov5_pass5
chr6:46714460	chr15:84797869	PLA2G7--ZNF592	chr6:46714460--chr15:84797869	chr15:84797869--chr6:46714460	PLA2G7--ZNF592	5	cov5_pass5
chr20:32201919	chr6:34770291	PLAGL2--SNRPC	chr20:32201919--chr6:34770291	chr20:32201919--chr6:34770291	PLAGL2--SNRPC	5	cov5_pass5
chr12:14506933	chr19:43015370	PLBD1--PSG11	chr12:14506933--chr19:43015370	chr12:14506933--chr19:43015370	PLBD1--PSG11	5	cov5_pass5
chr15:40301957	chr7:6035444	PLCB2--ANKRD61	chr15:40301957--chr7:6035444	chr15:40301957--chr7:6035444	ANKRD61--PLCB2	5	cov5_pass5
chr19:40366510	chr19:55227563	PLD3--TMEM86B	chr19:40366510--chr19:55227563	chr19:40366510--chr19:55227563	PLD3--TMEM86B	5	cov5_pass5
chr17:17205860	chr3:42407343	PLD6--LYZL4	chr17:17205860--chr3:42407343	chr17:17205860--chr3:42407343	LYZL4--PLD6	5	cov5_pass5
chr6:150809476	chr6:110413466	PLEKHG1--DDO	chr6:150809476--chr6:110413466	chr6:110413466--chr6:150809476	DDO--PLEKHG1	5	cov5_pass5
chr12:92740948	chr19:21116829	PLEKHG7--ZNF714	chr12:92740948--chr19:21116829	chr12:92740948--chr19:21116829	PLEKHG7--ZNF714	5	cov5_pass5
chr10:113777259	chr9:137064979	PLEKHS1--SAPCD2	chr10:113777259--chr9:137064979	chr10:113777259--chr9:137064979	PLEKHS1--SAPCD2	5	cov5_pass5
chr15:89673210	chr3:51934551	PLIN1--RRP9	chr15:89673210--chr3:51934551	chr15:89673210--chr3:51934551	PLIN1--RRP9	5	cov5_pass5
chr19:4859590	chr1:16026536	PLIN3--CLCNKA	chr19:4859590--chr1:16026536	chr19:4859590--chr1:16026536	CLCNKA--PLIN3	5	cov5_pass5
chr16:57258462	chrX:49594118	PLLP--GAGE2A	chr16:57258462--chrX:49594118	chr16:57258462--chrX:49594118	GAGE2A--PLLP	5	cov5_pass5
chrX:115646535	chr11:45905151	PLS3--MAPK8IP1	chrX:115646535--chr11:45905151	chr11:45905151--chrX:115646535	MAPK8IP1--PLS3	5	cov5_pass5
chr1:156232425	chr11:57187245	PMF1--LRRC55	chr1:156232425--chr11:57187245	chr11:57187245--chr1:156232425	LRRC55--PMF1	5	cov5_pass5
chr1:20143590	chr16:75411952	PLA2G2F--CFDP1	chr1:20143590--chr16:75411952	chr16:75411952--chr1:20143590	CFDP1--PLA2G2F	5	cov5_pass5
chr1:19978380	chr10:127447394	PLA2G2A--DOCK1	chr1:19978380--chr10:127447394	chr10:127447394--chr1:19978380	DOCK1--PLA2G2A	5	cov5_pass5
chr4:37839931	chr19:38252338	PGM2--PPP1R14A	chr4:37839931--chr19:38252338	chr19:38252338--chr4:37839931	PGM2--PPP1R14A	5	cov5_pass5
chr16:68245553	chr22:19516527	PLA2G15--CDC45	chr16:68245553--chr22:19516527	chr16:68245553--chr22:19516527	CDC45--PLA2G15	5	cov5_pass5
chr15:98969425	chr2:70300980	PGPEP1L--FAM136A	chr15:98969425--chr2:70300980	chr15:98969425--chr2:70300980	FAM136A--PGPEP1L	5	cov5_pass5
chr12:8936964	chr16:20399307	PHC1--PDILT	chr12:8936964--chr16:20399307	chr12:8936964--chr16:20399307	PDILT--PHC1	5	cov5_pass5
chr7:10974324	chr14:61995876	PHF14--SYT16	chr7:10974324--chr14:61995876	chr14:61995876--chr7:10974324	PHF14--SYT16	5	cov5_pass5
chrX:46984940	chr8:86113709	PHF16--ATP6V0D2	chrX:46984940--chr8:86113709	chr8:86113709--chrX:46984940	ATP6V0D2--PHF16	5	cov5_pass5
chr9:120866028	chr7:2702722	PHF19--AMZ1	chr9:120866028--chr7:2702722	chr7:2702722--chr9:120866028	AMZ1--PHF19	5	cov5_pass5
chr11:46084166	chr9:2729446	PHF21A--KCNV2	chr11:46084166--chr9:2729446	chr11:46084166--chr9:2729446	KCNV2--PHF21A	5	cov5_pass5
chr10:59176959	chr2:172101646	PHYHIPL--DLX2	chr10:59176959--chr2:172101646	chr10:59176959--chr2:172101646	DLX2--PHYHIPL	5	cov5_pass5
chr12:6698045	chr1:158329014	PIANP--CD1B	chr12:6698045--chr1:158329014	chr12:6698045--chr1:158329014	CD1B--PIANP	5	cov5_pass5
chr1:145857313	chr2:219179733	PIAS3--FAM134A	chr1:145857313--chr2:219179733	chr1:145857313--chr2:219179733	FAM134A--PIAS3	5	cov5_pass5
chr19:4037504	chr14:77330310	PIAS4--GSTZ1	chr19:4037504--chr14:77330310	chr14:77330310--chr19:4037504	GSTZ1--PIAS4	5	cov5_pass5
chr19:4028600	chr20:13483337	PIAS4--TASP1	chr19:4028600--chr20:13483337	chr19:4028600--chr20:13483337	PIAS4--TASP1	5	cov5_pass5
chr2:229155818	chr5:10681169	PID1--DAP	chr2:229155818--chr5:10681169	chr2:229155818--chr5:10681169	DAP--PID1	5	cov5_pass5
chr10:3144292	chr1:12578956	PITRM1--DHRS3	chr10:3144292--chr1:12578956	chr10:3144292--chr1:12578956	DHRS3--PITRM1	5	cov5_pass5
chr11:94597915	chr19:35225212	PIWIL4--FAM187B	chr11:94597915--chr19:35225212	chr11:94597915--chr19:35225212	FAM187B--PIWIL4	5	cov5_pass5
chr19:14467641	chr1:203179585	PKN1--CHI3L1	chr19:14467641--chr1:203179585	chr19:14467641--chr1:203179585	CHI3L1--PKN1	5	cov5_pass5
chr10:71820240	chr6:167136038	PSAP--CCR6	chr10:71820240--chr6:167136038	chr10:71820240--chr6:167136038	CCR6--PSAP	5	cov5_pass5
chr16:67934797	chr7:157163810	PSMB10--UBE3C	chr16:67934797--chr7:157163810	chr16:67934797--chr7:157163810	PSMB10--UBE3C	5	cov5_pass5
chr5:141352669	chr4:69959069	PCDHGB1--CSN2	chr5:141352669--chr4:69959069	chr4:69959069--chr5:141352669	CSN2--PCDHGB1	5	cov5_pass5
chr20:44757670	chr6:127316502	RIMS4--ECHDC1	chr20:44757670--chr6:127316502	chr20:44757670--chr6:127316502	ECHDC1--RIMS4	5	cov5_pass5
chr17:32171101	chr20:34077028	RHOT1--RALY	chr17:32171101--chr20:34077028	chr17:32171101--chr20:34077028	RALY--RHOT1	5	cov5_pass5
chr15:40873684	chr1:228022667	RHOV--WNT3A	chr15:40873684--chr1:228022667	chr15:40873684--chr1:228022667	RHOV--WNT3A	5	cov5_pass5
chr19:32991823	chr21:40167288	RHPN2--DSCAM	chr19:32991823--chr21:40167288	chr19:32991823--chr21:40167288	DSCAM--RHPN2	5	cov5_pass5
chrX:53428084	chr12:120457076	RIBC1--AL021546.6	chrX:53428084--chr12:120457076	chr12:120457076--chrX:53428084	AL021546.6--RIBC1	5	cov5_pass5
chr12:106823447	chr1:114709728	RIC8B--NRAS	chr12:106823447--chr1:114709728	chr12:106823447--chr1:114709728	NRAS--RIC8B	5	cov5_pass5
chr12:130456496	chr22:45533761	RIMBP2--FBLN1	chr12:130456496--chr22:45533761	chr12:130456496--chr22:45533761	FBLN1--RIMBP2	5	cov5_pass5
chr6:72242437	chr4:190026765	RIMS1--FRG2	chr6:72242437--chr4:190026765	chr4:190026765--chr6:72242437	FRG2--RIMS1	5	cov5_pass5
chr11:66335978	chr9:105604215	RIN1--FKTN	chr11:66335978--chr9:105604215	chr11:66335978--chr9:105604215	FKTN--RIN1	5	cov5_pass5
chr7:5716716	chr22:50487886	RNF216--MIOX	chr7:5716716--chr22:50487886	chr22:50487886--chr7:5716716	MIOX--RNF216	5	cov5_pass5
chr21:41743882	chr5:140243305	RIPK4--CYSTM1	chr21:41743882--chr5:140243305	chr21:41743882--chr5:140243305	CYSTM1--RIPK4	5	cov5_pass5
chr6:83853511	chr15:43793576	RIPPLY2--SERF2	chr6:83853511--chr15:43793576	chr15:43793576--chr6:83853511	RIPPLY2--SERF2	5	cov5_pass5
