#name	spanning reads	mapping score(1 is good)	seq agreement near breakpoint (1 is good)	avg frac of reads at loci in fusion	3' breakpoint	5' breakpoint
SLC3A1--SF1	80	1.0	0.806	0.941	3'-SF1-chr11-64766158-0.952	5'-SLC3A1-chr2-44301127-0.93
SEM1--ZBTB40	78	1.0	0.868	0.805	3'-ZBTB40-chr1-22491399-0.703	5'-SEM1-chr7-96673738-0.907
C17orf98--MCM10	78	1.0	0.839	0.88	3'-MCM10-chr10-13170919-0.821	5'-C17orf98-chr17-38841455-0.94
SAV1--FLT3	77	0.987	0.841	0.911	3'-FLT3-chr13-28050225-0.895	5'-SAV1-chr14-50665178-0.928
WIPF2--ZFYVE9	76	0.995	0.896	0.933	3'-ZFYVE9-chr1-52303819-0.95	5'-WIPF2-chr17-40274000-0.916
MAP7D1--CACYBP	87	0.861	0.695	0.925	3'-CACYBP-chr1-175010079-0.989	5'-MAP7D1-chr1-36178824-0.861
MPDZ--NDUFB11	70	0.943	0.754	0.784	3'-NDUFB11-chrX-47142219-0.854	5'-MPDZ-chr9-13126514-0.714
ZNF12--NIFK	62	1.0	0.847	0.984	3'-NIFK-chr2-121728536-0.984	5'-ZNF12-chr7-6697688-0.984
ELOVL3--ZADH2	60	1.0	0.707	0.984	3'-ZADH2-chr18-75201877-0.984	5'-ELOVL3-chr10-102226327-0.984
GAS2L2--C8orf34	58	1.0	0.769	0.992	3'-C8orf34-chr8-68818555-0.983	5'-GAS2L2-chr17-35747848-1.0
DGCR6L--FUOM	58	0.986	0.785	0.959	3'-FUOM-chr10-133357257-0.967	5'-DGCR6L-chr22-20320080-0.951
SP8--GORASP1	57	0.997	0.85	0.966	3'-GORASP1-chr3-39102882-0.95	5'-SP8-chr7-20786777-0.983
TMED6--AKR1E2	55	1.0	0.85	0.982	3'-AKR1E2-chr10-4830672-1.0	5'-TMED6-chr16-69351809-0.965
RAB5IF--LINC02694	55	1.0	0.842	0.933	3'-LINC02694-chr15-38698136-0.902	5'-RAB5IF-chr20-36607819-0.965
GLRX3--MBOAT4	55	0.998	0.82	0.974	3'-MBOAT4-chr8-30132907-0.965	5'-GLRX3-chr10-130160999-0.982
ELP3--DTYMK	53	1.0	0.774	0.964	3'-DTYMK-chr2-241680319-0.964	5'-ELP3-chr8-28106784-0.964
C16orf54--ASB9	53	1.0	0.766	0.738	3'-ASB9-chrX-15270148-0.946	5'-C16orf54-chr16-29744956-0.53
ABCD2--CCR2	52	1.0	0.847	0.955	3'-CCR2-chr3-46357475-0.929	5'-ABCD2-chr12-39616987-0.981
ARID3C--DMRT2	52	1.0	0.788	0.947	3'-DMRT2-chr9-1056213-0.981	5'-ARID3C-chr9-34623423-0.912
CPXM1--HOXC4	52	1.0	0.826	1.0	3'-HOXC4-chr12-54055327-1.0	5'-CPXM1-chr20-2800637-1.0
NTAQ1--BTNL9	51	1.0	0.879	0.668	3'-BTNL9-chr5-181045465-0.81	5'-NTAQ1-chr8-123430035-0.526
TIMM17B--TUBAL3	50	1.0	0.849	0.952	3'-TUBAL3-chr10-5394463-0.962	5'-TIMM17B-chrX-48895036-0.943
METTL2B--RASAL1	53	0.939	0.833	0.965	3'-RASAL1-chr12-113100685-0.93	5'-METTL2B-chr7-128488162-1.0
NFKBID--ZNF3	49	1.0	0.841	0.666	3'-ZNF3-chr7-100075264-0.353	5'-NFKBID-chr19-35896259-0.98
CHP1--HSPB11	48	1.0	0.841	0.918	3'-HSPB11-chr1-53930147-0.857	5'-CHP1-chr15-41270619-0.98
HBD--SH3RF1	48	1.0	0.716	0.918	3'-SH3RF1-chr4-169117787-0.857	5'-HBD-chr11-5235370-0.98
CBLN1--PCDHAC2	49	1.0	0.863	0.946	3'-PCDHAC2-chr5-140978945-0.891	5'-CBLN1-chr16-49281201-1.0
SRP14--NXPH4	47	1.0	0.879	0.99	3'-NXPH4-chr12-57221305-0.979	5'-SRP14-chr15-40039050-1.0
TERF1--CYP2R1	48	0.959	0.75	0.98	3'-CYP2R1-chr11-14878297-0.96	5'-TERF1-chr8-73032134-1.0
PPP5C--AGPS	48	1.0	0.843	0.811	3'-AGPS-chr2-177493143-0.75	5'-PPP5C-chr19-46388448-0.873
VPREB3--TMEM64	46	1.0	0.782	0.959	3'-TMEM64-chr8-90646083-0.939	5'-VPREB3-chr22-23753151-0.979
CABLES1--ENO4	45	1.0	0.884	0.978	3'-ENO4-chr10-116860792-0.978	5'-CABLES1-chr18-23214055-0.978
DSTYK--ATG4A	47	0.995	0.707	0.97	3'-ATG4A-chrX-108134334-1.0	5'-DSTYK-chr1-205150679-0.94
H2AJ--ADIG	43	1.0	0.834	0.966	3'-ADIG-chr20-38588098-0.977	5'-H2AJ-chr12-14774976-0.956
RP2--C12orf66	43	1.0	0.85	0.899	3'-C12orf66-chr12-64215965-0.843	5'-RP2-chrX-46860103-0.956
FCGR3A--ANGEL1	45	0.998	0.691	0.948	3'-ANGEL1-chr14-76812940-0.978	5'-FCGR3A-chr1-161541764-0.918
FADS6--PTK2	42	0.997	0.777	0.885	3'-PTK2-chr8-140735250-0.913	5'-FADS6-chr17-74879586-0.857
BNC2--FTCD	41	1.0	0.773	0.953	3'-FTCD-chr21-46145950-0.953	5'-BNC2-chr9-16435552-0.953
CHMP6--TMEM45B	41	1.0	0.885	0.964	3'-TMEM45B-chr11-129859215-0.953	5'-CHMP6-chr17-80997343-0.976
RHOT1--RALY	49	0.832	0.802	0.709	3'-RALY-chr20-34077129-0.98	5'-RHOT1-chr17-32142559-0.438
DOCK3--PIP4P1	41	1.0	0.719	0.891	3'-PIP4P1-chr14-20458385-0.872	5'-DOCK3-chr3-51310326-0.911
BX470111.1--PPP6C	40	1.0	0.733	0.853	3'-PPP6C-chr9-125153744-0.816	5'-BX470111.1-chrX-155065368-0.889
KIF2C--PRDM2	39	1.0	0.754	0.819	3'-PRDM2-chr1-13742004-0.709	5'-KIF2C-chr1-44757973-0.929
TIMM10B--CD244	39	1.0	0.847	0.929	3'-CD244-chr1-160830159-0.907	5'-TIMM10B-chr11-6482289-0.951
ZFC3H1--FBXL22	39	1.0	0.664	0.879	3'-FBXL22-chr15-63601292-0.929	5'-ZFC3H1-chr12-71631776-0.83
ZNF318--TPMT	39	1.0	0.884	0.808	3'-TPMT-chr6-18128310-0.75	5'-ZNF318-chr6-43369443-0.867
TRAV22--PPP3R1	37	1.0	0.845	0.656	3'-PPP3R1-chr2-68186652-0.363	5'-TRAV22-chr14-22070741-0.949
NEFH--CHRNB1	38	1.0	0.818	0.932	3'-CHRNB1-chr17-7455281-0.864	5'-NEFH-chr22-29481145-1.0
ZFP36L1--SLC7A10	22	1.0	0.83	0.412	3'-SLC7A10-chr19-33225798-0.214	5'-ZFP36L1-chr14-68790494-0.611
PSORS1C2--PCMTD2	20	0.973	0.905	0.952	3'-PCMTD2-chr20-64265614-0.952	5'-PSORS1C2-chr6-31138309-0.952
LARP4--TOP2B	14	1.0	0.921	0.938	3'-TOP2B-chr3-25609345-0.875	5'-LARP4-chr12-50427912-1.0
APOL5--TAX1BP1	14	1.0	0.843	0.967	3'-TAX1BP1-chr7-27832978-1.0	5'-APOL5-chr22-35728904-0.933
DDO--PLEKHG1	13	1.0	0.865	0.861	3'-PLEKHG1-chr6-150809477-1.0	5'-DDO-chr6-110413469-0.722
SGSH--ZNF208	13	1.0	0.723	1.0	3'-ZNF208-chr19-21987313-1.0	5'-SGSH-chr17-80212066-1.0
CLCN2--MED13L	12	1.0	0.89	0.829	3'-MED13L-chr12-116237707-0.8	5'-CLCN2-chr3-184361602-0.857
ADAD1--C1QTNF4	12	1.0	0.742	1.0	3'-C1QTNF4-chr11-47590817-1.0	5'-ADAD1-chr4-122421391-1.0
DEUP1--CTSV	12	1.0	0.858	1.0	3'-CTSV-chr9-97036748-1.0	5'-DEUP1-chr11-93332288-1.0
C20orf173--TYSND1	12	1.0	0.881	0.928	3'-TYSND1-chr10-70146586-0.857	5'-C20orf173-chr20-35529249-1.0
MOCOS--RAB3B	11	1.0	0.993	0.698	3'-RAB3B-chr1-51933444-0.478	5'-MOCOS-chr18-36198757-0.917
ULK3--TMEM135	11	1.0	0.77	0.959	3'-TMEM135-chr11-87179324-0.917	5'-ULK3-chr15-74843124-1.0
EMILIN3--SPATA31A1	12	0.914	0.923	0.923	3'-SPATA31A1-chr9-39357130-0.923	5'-EMILIN3-chr20-41366827-0.923
TPRG1L--FDXR	10	1.0	0.875	0.909	3'-FDXR-chr17-74872976-0.909	5'-TPRG1L-chr1-3627497-0.909
THBS3--NEBL	10	1.0	0.845	0.839	3'-NEBL-chr10-21146559-0.909	5'-THBS3-chr1-155206413-0.769
G0S2--CFAP47	10	1.0	0.917	0.839	3'-CFAP47-chrX-36071973-0.769	5'-G0S2-chr1-209676388-0.909
DYNC2LI1--PTGES2-AS1	10	1.0	0.748	0.547	3'-PTGES2-AS1-chr9-128129202-0.094	5'-DYNC2LI1-chr2-43800916-1.0
EMC4--ASAH2	10	0.976	0.78	1.0	3'-ASAH2-chr10-50187310-1.0	5'-EMC4-chr15-34225651-1.0
RHOC--NOL4	9	1.0	0.889	0.95	3'-NOL4-chr18-33958421-1.0	5'-RHOC-chr1-112704921-0.9
ABRAXAS2--AC112128.1	9	1.0	0.771	0.95	3'-AC112128.1-chr3-113433669-1.0	5'-ABRAXAS2-chr10-124801901-0.9
FARS2--KIR3DL2	9	1.0	0.856	0.95	3'-KIR3DL2-chr19-54866960-0.9	5'-FARS2-chr6-5613322-1.0
TMEM19--OTUD6B	9	1.0	0.889	0.859	3'-OTUD6B-chr8-91087095-0.818	5'-TMEM19-chr12-71699109-0.9
LAG3--GDA	9	1.0	0.642	1.0	3'-GDA-chr9-72202743-1.0	5'-LAG3-chr12-6775733-1.0
SPANXN5--ZSCAN10	9	1.0	0.822	0.95	3'-ZSCAN10-chr16-3092318-0.9	5'-SPANXN5-chrX-52798101-1.0
C20orf27--NLRP1	9	1.0	0.747	0.875	3'-NLRP1-chr17-5517743-0.75	5'-C20orf27-chr20-3755609-1.0
ZGPAT--ANKRD40	9	1.0	0.672	0.95	3'-ANKRD40-chr17-50700716-0.9	5'-ZGPAT-chr20-63733353-1.0
BEX5--PCDH19	9	1.0	0.828	0.9	3'-PCDH19-chrX-100410273-0.9	5'-BEX5-chrX-102153707-0.9
EXOC3L4--IGFBP3	9	0.939	0.814	0.95	3'-IGFBP3-chr7-45921272-0.9	5'-EXOC3L4-chr14-103104328-1.0
SLC30A2--CYP1A1	8	1.0	0.853	0.945	3'-CYP1A1-chr15-74721504-1.0	5'-SLC30A2-chr1-26046133-0.889
SCAF1--PHTF1	8	1.0	0.981	0.845	3'-PHTF1-chr1-113704798-0.8	5'-SCAF1-chr19-49645134-0.889
TATDN2--NMNAT2	8	1.0	0.797	0.9	3'-NMNAT2-chr1-183293796-0.8	5'-TATDN2-chr3-10276488-1.0
APOBEC4--SOCS7	8	1.0	0.884	0.945	3'-SOCS7-chr17-38352244-1.0	5'-APOBEC4-chr1-183648813-0.889
IGHM--EHD3	8	1.0	0.853	0.685	3'-EHD3-chr2-31268394-0.8	5'-IGHM-chr14-105856218-0.571
EAF2--GHSR	8	1.0	0.75	1.0	3'-GHSR-chr3-172445467-1.0	5'-EAF2-chr3-121854823-1.0
GINS2--RBP1	8	1.0	0.894	1.0	3'-RBP1-chr3-139527342-1.0	5'-GINS2-chr16-85688025-1.0
PLEKHG7--ZNF714	8	1.0	0.762	1.0	3'-ZNF714-chr19-21117215-1.0	5'-PLEKHG7-chr12-92740948-1.0
CADM3--SAP18	7	1.0	0.679	0.938	3'-SAP18-chr13-21147413-1.0	5'-CADM3-chr1-159196454-0.875
MRPS30--LTB4R	7	1.0	0.8	1.0	3'-LTB4R-chr14-24315958-1.0	5'-MRPS30-chr5-44811156-1.0
IGBP1--FKBPL	7	1.0	0.811	1.0	3'-FKBPL-chr6-32129859-1.0	5'-IGBP1-chrX-70134137-1.0
ZNF396--MCRIP1	7	1.0	0.771	0.889	3'-MCRIP1-chr17-81823517-1.0	5'-ZNF396-chr18-35377337-0.778
EQTN--CLLU1-AS1	7	0.901	0.821	1.0	3'-CLLU1-AS1-chr12-92421173-1.0	5'-EQTN-chr9-27297139-1.0
RPS19BP1--CSRP1	6	1.0	0.75	0.928	3'-CSRP1-chr1-201496305-0.857	5'-RPS19BP1-chr22-39532855-1.0
SNIP1--CLMN	5	1.0	0.79	0.666	3'-CLMN-chr14-95296243-1.0	5'-SNIP1-chr1-37538021-0.333
IQGAP3--SYNJ2	5	1.0	0.655	0.773	3'-SYNJ2-chr6-158063872-0.833	5'-IQGAP3-chr1-156531158-0.714
C9orf135--FIS1	5	1.0	0.85	1.0	3'-FIS1-chr7-101240913-1.0	5'-C9orf135-chr9-69844625-1.0
SIK3--DMPK	5	0.93	0.6	0.714	3'-DMPK-chr19-45771930-0.714	5'-SIK3-chr11-116857808-0.714
PRDM6--TMEM108	4	1.0	0.906	1.0	3'-TMEM108-chr3-133397771-1.0	5'-PRDM6-chr5-123099961-1.0
RDM1--PATL2	4	1.0	0.963	1.0	3'-PATL2-chr15-44667103-1.0	5'-RDM1-chr17-35925638-1.0
VPREB1--PROCA1	4	1.0	0.594	1.0	3'-PROCA1-chr17-28704215-1.0	5'-VPREB1-chr22-22244861-1.0
POP5--CSMD2	3	1.0	0.967	1.0	3'-CSMD2-chr1-33814219-1.0	5'-POP5-chr12-120579418-1.0
CLU--CR1	3	1.0	0.983	1.0	3'-CR1-chr1-207640208-1.0	5'-CLU-chr8-27611966-1.0
NLRP3--SART3	3	1.0	0.908	0.875	3'-SART3-chr12-108561160-1.0	5'-NLRP3-chr1-247449103-0.75
ZNF513--MIPOL1	3	1.0	0.983	0.875	3'-MIPOL1-chr14-37308089-0.75	5'-ZNF513-chr2-27378372-1.0
RAP1GDS1--CLSTN2	3	1.0	0.992	0.875	3'-CLSTN2-chr3-140448516-0.75	5'-RAP1GDS1-chr4-98418791-1.0
EDF1--GGCT	3	1.0	0.967	1.0	3'-GGCT-chr7-30500681-1.0	5'-EDF1-chr9-136866285-1.0
MUC12--MZF1	3	1.0	0.675	0.8	3'-MZF1-chr19-58563262-1.0	5'-MUC12-chr7-101006569-0.6
N6AMT1--KLHDC10	3	1.0	0.858	1.0	3'-KLHDC10-chr7-130116666-1.0	5'-N6AMT1-chr21-28885371-1.0
ZNF543--ZW10	3	1.0	0.992	1.0	3'-ZW10-chr11-113768969-1.0	5'-ZNF543-chr19-57320876-1.0
KRT84--LRRK2	3	1.0	0.983	1.0	3'-LRRK2-chr12-40283952-1.0	5'-KRT84-chr12-52385652-1.0
OIP5--CCNB1IP1	3	1.0	0.875	1.0	3'-CCNB1IP1-chr14-20316562-1.0	5'-OIP5-chr15-41332487-1.0
ISCA1--ATP5MF-PTCD1	3	0.983	0.683	0.265	3'-ATP5MF-PTCD1-chr7-99429806-0.5	5'-ISCA1-chr9-86282538-0.029
