sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
DepMap_AS010_v1_K562.refine.bam.fastq,SCHLAP1:UBE2E3,chr2,180724690,+,chr2,180982018,+,257.332,0,3,FALSE,TRUE,FALSE,m84056_230620_213907_s3/41814157/ccs/4907_6656,565,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,WDR34:PRRX2,chr9,128656541,-,chr9,129719231,+,1062.688,0,3,FALSE,TRUE,TRUE,m84056_230620_213907_s3/115016958/ccs/1914_2887,150,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,MED20:TAF8,chr6,41921005,-,chr6,42055531,+,134.525,0,2,FALSE,TRUE,TRUE,m84063_230620_211331_s3/121639684/ccs/5254_5913,127,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,C10orf76:KCNIP2,chr10,102040013,-,chr10,101829199,-,210.82,0,2,FALSE,TRUE,FALSE,m84056_230620_213907_s3/98634226/ccs/994_3628,221,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CTD-2215E18.1:LINC01340,chr5,97431900,+,chr5,97668551,+,236.654,0,2,FALSE,TRUE,FALSE,m84056_230620_213907_s3/180028268/ccs/7987_9204,620,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,DSCR4:KCNJ6,chr21,38120307,-,chr21,37840709,-,279.599,0,2,FALSE,TRUE,FALSE,m84056_230620_213907_s3/148639915/ccs/3442_5027,182,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,IMMP2L:DOCK4,chr7,111487238,-,chr7,111769677,-,282.438,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/221515168/ccs/2326_5091,341,HighConfidence,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,CCDC26:FAM49B,chr8,129574882,-,chr8,129904585,-,329.701,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/119540828/ccs/44_1964,139,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,APIP:CAT,chr11,34916228,-,chr11,34449192,+,467.044,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/122032527/ccs/5486_7739,109,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,SETD5:GRM7,chr3,9397977,+,chr3,7680049,+,1717.916,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/136644358/ccs/1575_2284,107,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RP11-706O15.1:TXLNG,chrX,3843341,-,chrX,16818574,+,12975.231,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/140054804/ccs/75_942,582,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,JAK1:S100PBP,chr1,64966333,-,chr1,32853079,+,32113.256,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/103745471/ccs/74_611,189,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RPL27A:PDCL2,chr11,8684892,+,chr4,55582237,-,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/204472997/ccs/44_930,343,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CCDC67:RNPC3,chr11,93415114,+,chr1,103555034,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/56626389/ccs/74_1988,1715,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,ATXN2L:GLTSCR2,chr16,28826390,+,chr19,47756528,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/207291177/ccs/5347_5914,374,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,LRRC75A-AS1:RTN4,chr17,16439414,+,chr2,54987698,-,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/179243307/ccs/4387_5408,115,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,EIF4A1:RPL10,chr17,7574678,+,chrX,154400464,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/170527073/ccs/4580_5177,223,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,ZNF350-AS1:RBX1,chr19,51949235,+,chr22,40953555,+,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/187960366/ccs/3216_3733,96,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,PASK:SLC18B1,chr2,241140521,-,chr6,132771129,-,Inf,0,2,FALSE,TRUE,TRUE,m84056_230620_213907_s3/146084176/ccs/65_1699,532,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,MDN1:BSCL2,chr6,89819506,-,chr11,62694711,-,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/248382170/ccs/5178_6417,250,HighConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,BCR:ABL1,chr22,23290413,+,chr9,130854064,+,Inf,0,2,TRUE,TRUE,TRUE,m84056_230620_213907_s3/221317094/ccs/6083_10623,539,HighConfidence,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,UPF3A:CDC16,chr13,114304912,+,chr13,114272185,+,32.727,0,12,NA,FALSE,TRUE,m84056_230620_213907_s3/100994266/ccs/7035_8400,871,LowConfidence,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL1:RP11-618P17.4,chr14,49586811,+,chr19,34401870,+,Inf,0,7,NA,FALSE,TRUE,m84056_230620_213907_s3/118427267/ccs/2512_3290,233,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,C15orf57:CBX3,chr15,40561982,-,chr7,26201745,+,Inf,0,6,NA,FALSE,TRUE,m84056_230620_213907_s3/118753687/ccs/9077_10269,322,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,MED15:RPL14,chr22,20566503,+,chr3,40462059,+,Inf,0,4,NA,FALSE,TRUE,m84056_230620_213907_s3/128844480/ccs/5960_6866,679,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL1:NONO,chr14,49586801,+,chrX,71300466,+,Inf,0,3,NA,FALSE,TRUE,m84056_230620_213907_s3/156437396/ccs/2954_3885,223,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,LINC01340:RP11-455B3.1,chr5,97670681,+,chr5,97899639,+,228.958,0,2,NA,FALSE,FALSE,m84056_230620_213907_s3/180028268/ccs/7987_9204,820,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,EXD3:RABL6,chr9,137423118,-,chr9,136823527,+,599.591,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/111480918/ccs/626_2549,90,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,TSTD3:MDN1,chr6,99526106,+,chr6,89721580,-,9804.526,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/161939576/ccs/3832_4201,144,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RNU6-1:AKAP9,chr10,13217374,+,chr7,92002233,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/183438405/ccs/9012_11867,107,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,FTH1:EIF3J,chr11,61967475,-,chr15,44537207,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/130877290/ccs/3584_3944,159,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,MALAT1:CDC42BPA,chr11,65504592,+,chr1,227160638,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/65213271/ccs/5387_6515,262,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,S100PBP:NCBP1,chr1,32825409,+,chr9,97673101,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/33228083/ccs/9315_10188,219,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL1:DSCR3,chr14,49586796,+,chr21,37224340,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/204740095/ccs/74_1211,218,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL1:TTL,chr14,49586801,+,chr2,112531018,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/190186570/ccs/1043_2629,222,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL1:IFI6,chr14,49586811,+,chr1,27666247,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/201659842/ccs/3652_4070,234,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,SPG11:GLUD2,chr15,44651685,-,chrX,121048942,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/144052984/ccs/3314_4873,586,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RNU6-1:UGGT2,chr15,67839940,+,chr13,95863714,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/155650306/ccs/4241_5561,107,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,GCSH:XAGE1A,chr16,81096152,-,chrX,52497995,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/251794807/ccs/10373_10735,136,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RPL19:ACN9,chr17,39204558,+,chr7,97117876,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/206441782/ccs/4112_5416,531,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,APPBP2:MTHFD2,chr17,60526072,-,chr2,74208603,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/185340038/ccs/6595_8381,159,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,ATP5H:LINC00152,chr17,75039215,-,chr2,87521240,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/27921305/ccs/6911_7576,409,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,ZNHIT6:DBNDD2,chr1,85707764,-,chr20,45410295,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/207095233/ccs/814_1784,652,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,HS2ST1:FAM172A,chr1,87092662,+,chr5,93683269,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/4785408/ccs/2770_4332,807,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,SNRPA:SEC11A,chr19,40751390,+,chr15,84670747,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/233309128/ccs/3380_4098,165,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,TPTEP1:TMEM147-AS1,chr22,16653438,+,chr19,35540933,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/207685836/ccs/7831_9594,1567,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CRKL:MZT1,chr22,20917883,+,chr13,72727572,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/16844891/ccs/3660_6298,463,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,LGALS1:CCND2,chr22,37678530,+,chr12,4276134,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/131272592/ccs/1650_2603,204,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RNF168:LAMP2,chr3,196503275,-,chrX,120438048,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/130090935/ccs/1498_3181,317,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CRTAP:EIF3I,chr3,33142690,+,chr1,32231432,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/248188286/ccs/74_1713,1466,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,ATP5I:CSDE1,chr4,672505,-,chr1,114739725,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/174067069/ccs/4979_7492,216,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,WDR36:VPS25,chr5,111121125,+,chr17,42779485,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/183304311/ccs/6057_8436,2264,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,GNB2L1:NUDC,chr5,181237004,-,chr1,26941496,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/169935771/ccs/8591_10640,1033,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,TPMT:GFPT1,chr6,18143616,-,chr2,69323866,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/107090557/ccs/6524_7050,348,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,HIST1H2BG:RANBP1,chr6,26216455,-,chr22,20125383,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/22546202/ccs/4580_4907,237,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CSNK2B-LY6G5B-562:PFDN2,chr6,31668599,+,chr1,161102296,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/208408969/ccs/1773_2559,344,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SK:NONO,chr6,52995836,+,chrX,71300617,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/168955705/ccs/705_1481,218,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,MDN1:EIF1B,chr6,89721391,-,chr3,40309878,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/70322348/ccs/8678_9716,228,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,KCNH2:GNB2L1,chr7,150955622,-,chr5,181237674,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/185205967/ccs/1610_1960,196,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,CLDN12:PIGP,chr7,90413332,+,chr21,37067337,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/251596343/ccs/7269_8471,864,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RBM18:SRP9,chr9,122251940,-,chr1,225777936,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/144508011/ccs/7265_8906,272,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL5P:CLCN3,chr9,9442137,+,chr4,169721876,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/121110873/ccs/3575_4960,79,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,MAPK1:HMGN2,chr22,21867449,-,chr1,26472602,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/235014085/ccs/1322_2620,191,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,PPM1G:CALM1,chr2,27393420,-,chr14,90397097,+,Inf,0,2,NA,FALSE,TRUE,m84063_230620_211331_s3/234820154/ccs/6460_7275,159,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,HNRNPD:GNAS,chr4,82373638,-,chr20,58891726,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/188681043/ccs/3652_5469,345,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,EGR1:RPL14,chr5,138465875,+,chr3,40462057,+,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/236521888/ccs/907_1534,400,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RN7SL5P:TAPBP,chr9,9442279,+,chr6,33300928,-,Inf,0,2,NA,FALSE,TRUE,m84056_230620_213907_s3/56428892/ccs/5829_7304,221,LowConfidence,-
DepMap_AS010_v1_K562.refine.bam.fastq,RPL14:ENTPD3-AS1,chr3,40458736,+,chr3,40446847,-,11.886,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/130681485/ccs/3113_3638,224,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,CFD:MED16,chr19,861956,+,chr19,875454,-,13.505,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/176490527/ccs/500_2398,507,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,LRRFIP2:MLH1,chr3,37063742,-,chr3,37047519,+,16.225,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/159451481/ccs/4322_6311,1263,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,E4F1:ECI1,chr16,2223770,+,chr16,2240145,-,16.377,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/118228050/ccs/3001_3344,96,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,WDR37:IDI2-AS1,chr10,1056968,+,chr10,1036789,+,20.176,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/77663565/ccs/544_1481,159,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,RP11-266K4.9:FAM66C,chr12,8235999,+,chr12,8215806,+,20.189,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/81987861/ccs/44_1367,977,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,NAP1L4:CARS,chr11,2991794,-,chr11,3020332,-,28.533,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/149229081/ccs/4372_6185,288,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,OIP5:OIP5-AS1,chr15,41331915,-,chr15,41298041,+,33.88,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/255071567/ccs/44_728,420,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,RSL1D1:GSPT1,chr16,11850279,-,chr16,11885274,-,34.993,0,1,TRUE,TRUE,TRUE,m84063_230620_211331_s3/164692731/ccs/2483_3843,255,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,PSMB1:PDCD2,chr6,170537234,-,chr6,170580105,-,42.867,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/78188303/ccs/74_1246,599,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,TBCE:GGPS1,chr1,235380149,+,chr1,235335242,+,44.898,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/61672810/ccs/3259_4688,181,PotentialTransSplicing,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,GFPT1:NFU1,chr2,69387065,-,chr2,69432005,-,44.936,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/97649106/ccs/6041_6886,160,PotentialTransSplicing,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,SNRPD1:ABHD3,chr18,21612443,+,chr18,21659343,-,46.902,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/111415154/ccs/44_1434,141,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,SETD5:THUMPD3,chr3,9434485,+,chr3,9384524,+,49.957,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/106236882/ccs/2624_3569,598,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,CEP70:FAIM,chr3,138571034,-,chr3,138621407,+,50.37,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/216663109/ccs/2078_3435,506,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,SP2-AS1:CDK5RAP3,chr17,47918452,-,chr17,47976712,+,58.262,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/50335624/ccs/7078_8239,168,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,SAR1B:SEC24A,chr5,134620933,-,chr5,134682373,+,61.45,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/232655032/ccs/6065_11157,385,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,CLIC1:CSNK2B,chr6,31732217,-,chr6,31667868,+,64.35,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/43715112/ccs/72_1433,646,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,NBN:DECR1,chr8,89978220,-,chr8,90042728,+,64.502,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/106105244/ccs/5356_6490,692,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,UCK2:TMCO1,chr1,165827932,+,chr1,165759584,-,68.348,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/34801944/ccs/10030_11042,112,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,ITCH:AHCY,chr20,34369470,+,chr20,34295585,-,73.882,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/26280902/ccs/6078_8240,127,PotentialTransSplicing,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,DNASE2:RAD23A,chr19,12878382,-,chr19,12952689,+,74.305,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/226955296/ccs/5219_6414,825,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,B2M:SPG11,chr15,44711613,+,chr15,44633637,-,77.976,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/180227563/ccs/721_1549,103,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,B3GNTL1:METRNL,chr17,83014454,-,chr17,83093167,+,78.712,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/169869915/ccs/11043_12376,412,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,CORO1C:ISCU,chr12,108652272,-,chr12,108568831,+,83.443,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/227609223/ccs/5617_7227,1098,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,B3GNTL1:METRNL,chr17,83005115,-,chr17,83093167,+,88.05,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/113051963/ccs/5377_6544,522,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,KCTD5:TCEB2,chr16,2682800,+,chr16,2772102,-,89.304,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/226559861/ccs/6285_6724,278,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,LSR:FXYD5,chr19,35250659,+,chr19,35160709,+,89.948,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/251266959/ccs/74_1173,494,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,COPE:SUGP2,chr19,18919223,-,chr19,19010342,-,91.117,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/214241402/ccs/4145_5943,150,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,TTC13:FAM89A,chr1,230928937,-,chr1,231020126,-,91.188,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/208012043/ccs/9091_11879,1624,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,LSR:FXYD5,chr19,35259064,+,chr19,35164156,+,94.906,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/211944283/ccs/3032_4394,848,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,RPL39L:ST6GAL1,chr3,187139213,-,chr3,187042654,+,96.561,0,1,FALSE,TRUE,TRUE,m84063_230620_211331_s3/90705594/ccs/3077_7320,252,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,ZZZ3:USP33,chr1,77639449,-,chr1,77745599,-,106.147,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/159191261/ccs/74_3229,427,PotentialTransSplicing,Yes
DepMap_AS010_v1_K562.refine.bam.fastq,STARD9:TTBK2,chr15,42638812,+,chr15,42746257,-,107.447,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/226231935/ccs/9023_10169,475,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,CHCHD2:GBAS,chr7,56106364,-,chr7,55994894,+,111.472,0,1,TRUE,TRUE,TRUE,m84063_230620_211331_s3/150997381/ccs/3043_4484,89,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,PTPN23:ELP6,chr3,47396217,+,chr3,47511226,-,115.012,0,1,TRUE,TRUE,TRUE,m84056_230620_213907_s3/158270411/ccs/5256_6656,225,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,DDX50:CCAR1,chr10,68901471,+,chr10,68786136,+,115.332,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/239995641/ccs/2842_4122,187,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,CYTH3:RAC1,chr7,6272474,-,chr7,6400126,+,127.651,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/56300528/ccs/44_600,146,PotentialTransSplicing,-
DepMap_AS010_v1_K562.refine.bam.fastq,SLC23A2:TMEM230,chr20,4970793,-,chr20,5109445,-,138.648,0,1,FALSE,TRUE,TRUE,m84056_230620_213907_s3/134480045/ccs/11972_13512,226,PotentialTransSplicing,-
